,layer,filter,class_list,value
99,19,99,0,0.0004800152381379208
51,19,51,0,0.00029262366350576443
20,19,20,0,0.00027073766880262304
16,19,16,0,0.00020797554754271587
212,19,212,0,0.00020461766796339153
132,19,132,0,0.00016610424400115287
131,19,131,0,0.00015600891932203708
86,19,86,0,0.00013065418409496932
171,19,171,0,0.00012697824574388062
202,19,202,0,0.0001232044692923262
8,19,8,0,0.00011806665645273107
169,19,169,0,0.00011665175975663633
1,19,1,0,0.00011130828038699025
195,19,195,0,0.00010173005398017576
31,19,31,0,0.00010067487561261634
130,19,130,0,0.00010050431628590983
175,19,175,0,9.971272203733728e-05
223,19,223,0,9.409862782975287e-05
73,19,73,0,9.162559836269901e-05
226,19,226,0,8.961715087943967e-05
186,19,186,0,8.716721928454518e-05
59,19,59,0,8.675012624669299e-05
82,19,82,0,8.435315041644964e-05
128,19,128,0,8.321861280170539e-05
216,19,216,0,7.843023420674999e-05
113,19,113,0,7.718795935822698e-05
29,19,29,0,7.637874306462011e-05
12,19,12,0,7.490970302753697e-05
65,19,65,0,7.315808889440945e-05
55,19,55,0,6.946310080706564e-05
54,19,54,0,6.774607008324107e-05
203,19,203,0,6.312002128326944e-05
179,19,179,0,6.137286065176495e-05
75,19,75,0,5.922296626946766e-05
154,19,154,0,5.858004326674271e-05
79,19,79,0,5.7954830768680575e-05
63,19,63,0,5.6658194345304835e-05
84,19,84,0,5.4007625618013313e-05
58,19,58,0,5.2444306924959164e-05
245,19,245,0,4.934545167351034e-05
187,19,187,0,4.84761448412474e-05
207,19,207,0,4.830538859195155e-05
165,19,165,0,4.7268886945783795e-05
145,19,145,0,4.6552528763244e-05
215,19,215,0,4.623090600117674e-05
231,19,231,0,4.3541675306524305e-05
47,19,47,0,4.3156763462093294e-05
222,19,222,0,4.292029986459056e-05
138,19,138,0,4.166090147301737e-05
242,19,242,0,4.128792731793452e-05
220,19,220,0,4.0023088403717824e-05
100,19,100,0,3.967144656626953e-05
249,19,249,0,3.9141815604126774e-05
4,19,4,0,3.891949858509935e-05
250,19,250,0,3.727171562404319e-05
94,19,94,0,3.5990422258791456e-05
2,19,2,0,3.596036076459752e-05
254,19,254,0,3.567885322796061e-05
182,19,182,0,3.515733783088226e-05
209,19,209,0,3.4614530334042826e-05
158,19,158,0,3.3619920110605773e-05
38,19,38,0,3.3053703232632794e-05
41,19,41,0,3.299240143209703e-05
21,19,21,0,3.1949221037075316e-05
221,19,221,0,3.18320254506288e-05
28,19,28,0,2.989304769746015e-05
155,19,155,0,2.965370238043885e-05
133,19,133,0,2.9169531475581323e-05
121,19,121,0,2.88678506964235e-05
181,19,181,0,2.7750793215475244e-05
211,19,211,0,2.7732625241272403e-05
68,19,68,0,2.592231009846957e-05
176,19,176,0,2.5001862852624955e-05
15,19,15,0,2.4715683838838488e-05
43,19,43,0,2.440282689761819e-05
248,19,248,0,2.4351915492659693e-05
72,19,72,0,2.4087009960516158e-05
111,19,111,0,2.3525362673437745e-05
123,19,123,0,1.814012060293857e-05
5,19,5,0,1.701127877883346e-05
199,19,199,0,1.609655775055563e-05
97,19,97,0,1.6040077503898243e-05
173,19,173,0,1.545913353184769e-05
161,19,161,0,1.544564566264839e-05
98,19,98,0,1.4361304070564795e-05
168,19,168,0,1.4164927130710936e-05
88,19,88,0,1.3479917514824802e-05
49,19,49,0,1.277705453484046e-05
159,19,159,0,1.2265499214614283e-05
13,19,13,0,1.1718226585077929e-05
235,19,235,0,1.0735610309875466e-05
45,19,45,0,1.0626470831742729e-05
141,19,141,0,9.335336259885807e-06
255,19,255,0,9.09316909881719e-06
44,19,44,0,7.970120040945439e-06
208,19,208,0,7.235089590540422e-06
66,19,66,0,6.644146827761155e-06
35,19,35,0,5.855198919302307e-06
62,19,62,0,5.465681882221851e-06
118,19,118,0,5.216152420484122e-06
206,19,206,0,4.43586540348484e-06
170,19,170,0,4.331575406346655e-06
163,19,163,0,3.980435152450834e-06
229,19,229,0,3.885899939659598e-06
152,19,152,0,3.4168904790243816e-06
149,19,149,0,3.237008506118411e-06
78,19,78,0,2.8289535474290693e-06
116,19,116,0,1.916660913570123e-06
184,19,184,0,7.365121696079058e-07
246,19,246,0,5.29841580954038e-07
156,19,156,0,-4.72970216325308e-09
164,19,164,0,-8.20283577507297e-07
157,19,157,0,-2.7834311992935847e-06
230,19,230,0,-3.365633681340352e-06
93,19,93,0,-3.3993808812526894e-06
112,19,112,0,-3.703161829093915e-06
232,19,232,0,-3.77115476407619e-06
160,19,160,0,-3.921278736274125e-06
218,19,218,0,-4.560503208506095e-06
210,19,210,0,-5.331073897008043e-06
198,19,198,0,-6.2013153122375545e-06
119,19,119,0,-6.567064198648165e-06
101,19,101,0,-7.4994833669017605e-06
109,19,109,0,-8.335675984949553e-06
67,19,67,0,-8.54028695391751e-06
252,19,252,0,-8.636096820768823e-06
240,19,240,0,-8.869367921127136e-06
3,19,3,0,-8.890670642269782e-06
139,19,139,0,-8.95519672766687e-06
233,19,233,0,-9.155394398152605e-06
162,19,162,0,-1.0088369946792409e-05
17,19,17,0,-1.0192435282907475e-05
237,19,237,0,-1.0767936118649679e-05
6,19,6,0,-1.1062486472568356e-05
37,19,37,0,-1.1344145245983928e-05
103,19,103,0,-1.5120006364843786e-05
183,19,183,0,-1.6091399218232107e-05
225,19,225,0,-1.6905416608115066e-05
144,19,144,0,-1.7127870748367968e-05
52,19,52,0,-1.774144491871743e-05
146,19,146,0,-1.866428496060113e-05
148,19,148,0,-1.8949688079972216e-05
85,19,85,0,-1.9737678657894e-05
14,19,14,0,-2.0161716717537193e-05
22,19,22,0,-2.0910895428627453e-05
26,19,26,0,-2.154306082287061e-05
25,19,25,0,-2.160433216006341e-05
204,19,204,0,-2.291609541775763e-05
95,19,95,0,-2.29599033948924e-05
102,19,102,0,-2.3292947188580106e-05
107,19,107,0,-2.3518732463967406e-05
81,19,81,0,-2.3631554429726086e-05
42,19,42,0,-2.5175312667857773e-05
142,19,142,0,-2.6229640939101627e-05
178,19,178,0,-2.6945584161219838e-05
243,19,243,0,-2.7326205838040794e-05
57,19,57,0,-2.8121415814641448e-05
143,19,143,0,-2.8186751229808406e-05
200,19,200,0,-2.851211884153937e-05
115,19,115,0,-2.8838221035965007e-05
241,19,241,0,-2.9346628836912636e-05
18,19,18,0,-2.9866794374699966e-05
227,19,227,0,-2.988809784167934e-05
135,19,135,0,-3.112214100935429e-05
251,19,251,0,-3.1657527408235356e-05
0,19,0,0,-3.171770442925714e-05
10,19,10,0,-3.255016064670491e-05
53,19,53,0,-3.336930587219955e-05
64,19,64,0,-3.4566184327111674e-05
127,19,127,0,-3.515241422564763e-05
236,19,236,0,-3.543526493101634e-05
108,19,108,0,-3.5949282987512984e-05
151,19,151,0,-3.743137266606356e-05
77,19,77,0,-3.853317153403868e-05
91,19,91,0,-3.9043627780388504e-05
197,19,197,0,-3.9407791876711065e-05
56,19,56,0,-4.041130522238756e-05
194,19,194,0,-4.127759333062419e-05
96,19,96,0,-4.273392629283723e-05
253,19,253,0,-4.331220513229539e-05
125,19,125,0,-4.379942605671205e-05
238,19,238,0,-4.556765858395595e-05
228,19,228,0,-4.611531827098947e-05
213,19,213,0,-4.624498820312573e-05
48,19,48,0,-4.657009678389334e-05
61,19,61,0,-4.766989631527219e-05
105,19,105,0,-4.878669510520739e-05
23,19,23,0,-5.1191886938928286e-05
39,19,39,0,-5.3404372041943035e-05
137,19,137,0,-5.384008898244863e-05
34,19,34,0,-5.4029081181716786e-05
33,19,33,0,-5.5393886630028534e-05
90,19,90,0,-5.5491475143432115e-05
190,19,190,0,-5.578620754526087e-05
219,19,219,0,-5.6148685486012705e-05
69,19,69,0,-5.924437182506237e-05
46,19,46,0,-5.9304411090865816e-05
9,19,9,0,-6.614391753205773e-05
224,19,224,0,-6.840978465998404e-05
244,19,244,0,-6.903182503241734e-05
32,19,32,0,-6.90788104848461e-05
153,19,153,0,-6.942944340458946e-05
80,19,80,0,-7.207460769427243e-05
147,19,147,0,-7.225833675790216e-05
239,19,239,0,-7.357548955465587e-05
19,19,19,0,-7.359769157236907e-05
110,19,110,0,-7.466629477071995e-05
134,19,134,0,-7.573454494130827e-05
120,19,120,0,-7.620703605500933e-05
193,19,193,0,-7.901723655651116e-05
185,19,185,0,-8.152576950842816e-05
50,19,50,0,-8.288280852103425e-05
71,19,71,0,-8.342092067877837e-05
126,19,126,0,-8.736384469110181e-05
188,19,188,0,-8.837648558338574e-05
189,19,189,0,-9.081549535340238e-05
167,19,167,0,-9.105092059062958e-05
76,19,76,0,-9.356525083601409e-05
140,19,140,0,-9.601716896205925e-05
205,19,205,0,-9.954837118526516e-05
114,19,114,0,-0.0001000998771548578
92,19,92,0,-0.00010594823944779508
172,19,172,0,-0.00010618716027872565
117,19,117,0,-0.00010626510404256883
192,19,192,0,-0.0001068831363085887
124,19,124,0,-0.00010700441173976394
122,19,122,0,-0.00011003227865532538
166,19,166,0,-0.00011386886710549327
177,19,177,0,-0.00011800508453546632
217,19,217,0,-0.00011803035561475106
136,19,136,0,-0.00011904092539379851
11,19,11,0,-0.00012114659105567638
40,19,40,0,-0.0001236801071362148
74,19,74,0,-0.0001303771014247168
196,19,196,0,-0.0001336723048057431
180,19,180,0,-0.00013473947785360706
83,19,83,0,-0.00013909413090769097
201,19,201,0,-0.00013948062510021897
87,19,87,0,-0.00014362369295034538
7,19,7,0,-0.00014631799877679041
106,19,106,0,-0.00014780750637233275
150,19,150,0,-0.00014864685958718705
214,19,214,0,-0.00015229306754859228
27,19,27,0,-0.0001549071556732895
129,19,129,0,-0.0001890103853698255
174,19,174,0,-0.00019656469348559025
30,19,30,0,-0.0002266624040188292
234,19,234,0,-0.00024250232446368925
36,19,36,0,-0.0003322304584813418
104,19,104,0,-0.0003423049539392209
24,19,24,0,-0.00038617390700327323
89,19,89,0,-0.0003958399478573682
60,19,60,0,-0.0004073320147484516
70,19,70,0,-0.00043887930957526856
191,19,191,0,-0.000546872413335131
247,19,247,0,-0.0005506040398385759
