,layer,filter,class_list,value
38,53,38,whole,0.04137225405091124
17,53,17,whole,0.005934918354626487
44,53,44,whole,0.0023453164081701046
10,53,10,whole,0.0016871869173988644
32,53,32,whole,0.001408102110378224
36,53,36,whole,0.0010083204036745292
30,53,30,whole,0.0007699577686376316
52,53,52,whole,0.0006186744494425184
49,53,49,whole,0.00036050696866218987
8,53,8,whole,0.000276586916146163
25,53,25,whole,0.00016192353213674847
59,53,59,whole,8.76916178593448e-05
2,53,2,whole,6.413606258299508e-05
45,53,45,whole,5.139263815917066e-05
16,53,16,whole,3.4252763418536676e-05
18,53,18,whole,1.6987186927789472e-05
56,53,56,whole,-8.92948205070188e-05
0,53,0,whole,-9.813587385057703e-05
61,53,61,whole,-0.00010399432308039296
46,53,46,whole,-0.0001465115543272827
37,53,37,whole,-0.0001808909645442032
6,53,6,whole,-0.00030523453269345216
7,53,7,whole,-0.0003234506100231443
28,53,28,whole,-0.000642844579532344
58,53,58,whole,-0.0006489370357872474
47,53,47,whole,-0.0006577533227752339
11,53,11,whole,-0.0007010152718256648
24,53,24,whole,-0.0008049121850482535
27,53,27,whole,-0.000840648230100343
51,53,51,whole,-0.000902832408871133
14,53,14,whole,-0.000948929944810744
23,53,23,whole,-0.0009635790147618499
29,53,29,whole,-0.0009740606343811356
54,53,54,whole,-0.0010287283863948966
60,53,60,whole,-0.0010389677860101465
50,53,50,whole,-0.0012412807087318792
57,53,57,whole,-0.0012462041344215833
1,53,1,whole,-0.001273380558526301
19,53,19,whole,-0.0013145042175896544
21,53,21,whole,-0.001479105590568814
26,53,26,whole,-0.0016045411513331928
35,53,35,whole,-0.001647033309305472
63,53,63,whole,-0.0016533876052659499
62,53,62,whole,-0.0016536589103269702
31,53,31,whole,-0.0017694748747157693
41,53,41,whole,-0.0018369748840348977
40,53,40,whole,-0.0019715333717166494
43,53,43,whole,-0.001988429081199622
3,53,3,whole,-0.002231427262506933
20,53,20,whole,-0.002374094629320774
48,53,48,whole,-0.002586887737247192
12,53,12,whole,-0.0028004737671517457
53,53,53,whole,-0.003039181668211931
4,53,4,whole,-0.0036520284981756065
9,53,9,whole,-0.004148299402181803
22,53,22,whole,-0.004370540199724554
5,53,5,whole,-0.004746948429555873
55,53,55,whole,-0.004760102638185359
34,53,34,whole,-0.005001808103773401
13,53,13,whole,-0.006347561202794177
33,53,33,whole,-0.007753413457494571
42,53,42,whole,-0.01013759945627089
39,53,39,whole,-0.012394462715832803
15,53,15,whole,-0.012431423362343503
