,layer,filter,class_list,value
38,53,38,0,0.002083799202724479
44,53,44,0,0.00036597105252759163
36,53,36,0,0.00017132165571683843
32,53,32,0,0.00010520457629417112
52,53,52,0,5.28919880075418e-05
8,53,8,0,3.409703611777504e-05
59,53,59,0,9.059200317884653e-06
18,53,18,0,7.0699682081842855e-06
6,53,6,0,1.4699709294241359e-06
16,53,16,0,0.0
49,53,49,0,-1.0161969012312255e-05
37,53,37,0,-1.84827980420188e-05
46,53,46,0,-2.1346041943826056e-05
45,53,45,0,-4.391727157304626e-05
56,53,56,0,-5.823048867660274e-05
61,53,61,0,-6.898140368103434e-05
14,53,14,0,-7.648755880700353e-05
10,53,10,0,-8.233596629354522e-05
51,53,51,0,-0.00010223290773595518
11,53,11,0,-0.00010743282318794733
17,53,17,0,-0.0001280225664045842
20,53,20,0,-0.00013758391994171947
28,53,28,0,-0.00014049746136294284
24,53,24,0,-0.00014447024318972045
54,53,54,0,-0.00014984187201356748
7,53,7,0,-0.00016370594328636302
47,53,47,0,-0.00016381730849330812
29,53,29,0,-0.00017007510803543902
58,53,58,0,-0.00017011954230220506
0,53,0,0,-0.00017986281929228688
57,53,57,0,-0.00023428008138808297
60,53,60,0,-0.0002551479536250123
21,53,21,0,-0.0002585575046218813
12,53,12,0,-0.0002739154295554935
27,53,27,0,-0.00031049362346367013
40,53,40,0,-0.0003141806473730635
23,53,23,0,-0.00031692942483497745
1,53,1,0,-0.00032830841657867095
50,53,50,0,-0.0003354322027413925
62,53,62,0,-0.00036413530990264675
63,53,63,0,-0.00037745826922812585
9,53,9,0,-0.0003778226108004601
25,53,25,0,-0.00038213831661462196
19,53,19,0,-0.00039806675018607687
35,53,35,0,-0.0004069445831751062
26,53,26,0,-0.0004650239676384671
5,53,5,0,-0.00046675112307260626
41,53,41,0,-0.0004893124334554133
3,53,3,0,-0.0005081088468125161
31,53,31,0,-0.0005419232012754627
33,53,33,0,-0.0005521338510446561
39,53,39,0,-0.0005523887485203938
48,53,48,0,-0.0006035546097698296
42,53,42,0,-0.0006054337420302369
55,53,55,0,-0.0008389779948997922
22,53,22,0,-0.000846322606230887
43,53,43,0,-0.0009118906148254169
34,53,34,0,-0.0009538550861597384
13,53,13,0,-0.0010363749452943273
30,53,30,0,-0.0010439287741392355
2,53,2,0,-0.0010600125994587705
4,53,4,0,-0.0010703618432050365
53,53,53,0,-0.0010931299877049772
15,53,15,0,-0.0010937153443982717
