,layer,filter,class_list,value
421,23,421,whole,0.014080477848708379
427,23,427,whole,0.007362933462874399
323,23,323,whole,0.0064199168399140475
476,23,476,whole,0.005025680274564966
235,23,235,whole,0.0048316492761952415
305,23,305,whole,0.0048194587602544345
367,23,367,whole,0.004696648657603121
34,23,34,whole,0.004691383611808016
448,23,448,whole,0.004579437338307513
176,23,176,whole,0.004428628604951057
218,23,218,whole,0.003866325426366233
207,23,207,whole,0.003624376240726336
511,23,511,whole,0.00351594400018046
120,23,120,whole,0.0031115986161435053
391,23,391,whole,0.003009220296462534
142,23,142,whole,0.002961877961650713
277,23,277,whole,0.0029136407649793367
287,23,287,whole,0.002881310319408259
387,23,387,whole,0.0028780148771981044
368,23,368,whole,0.002838389730790211
215,23,215,whole,0.0026395884322628436
112,23,112,whole,0.002615447893534263
226,23,226,whole,0.0025676125011828135
27,23,27,whole,0.002505564080154097
500,23,500,whole,0.002505024318252729
284,23,284,whole,0.0024976625935852178
117,23,117,whole,0.0024561901527164545
326,23,326,whole,0.0024546006383017803
19,23,19,whole,0.0024062789002241938
409,23,409,whole,0.0023085602210016908
71,23,71,whole,0.0022847350731822155
9,23,9,whole,0.0022211702187746154
282,23,282,whole,0.002101245295380383
224,23,224,whole,0.0020293193079507056
39,23,39,whole,0.001935020262683125
444,23,444,whole,0.0019314234550437282
499,23,499,whole,0.0019282496364622734
201,23,201,whole,0.001922282471699384
485,23,485,whole,0.001876724832605364
76,23,76,whole,0.0018647511254331437
401,23,401,whole,0.0018371681351379975
445,23,445,whole,0.0018338926678286142
258,23,258,whole,0.0018002949639354348
422,23,422,whole,0.0017922224059720355
404,23,404,whole,0.0017427516677803415
408,23,408,whole,0.001733183597143984
255,23,255,whole,0.0017303355682582202
126,23,126,whole,0.0017256440158236238
24,23,24,whole,0.0017028938395246516
347,23,347,whole,0.0016815948448309
146,23,146,whole,0.0016700814353813413
484,23,484,whole,0.001659758712366482
416,23,416,whole,0.0016544140804310476
451,23,451,whole,0.0016402758032247392
149,23,149,whole,0.00160961361686454
475,23,475,whole,0.0016063056087520376
140,23,140,whole,0.00158659762417417
32,23,32,whole,0.001574795586195922
265,23,265,whole,0.0015389147893436997
10,23,10,whole,0.0015160279356087
491,23,491,whole,0.001510885394536354
507,23,507,whole,0.0014912612264211095
217,23,217,whole,0.0014278286572258323
487,23,487,whole,0.0014251172176424185
370,23,370,whole,0.0014116540804747554
225,23,225,whole,0.0014020379007930288
23,23,23,whole,0.0013560538464256185
441,23,441,whole,0.0013487941696894352
469,23,469,whole,0.0013462036313519354
85,23,85,whole,0.0013436462997808804
97,23,97,whole,0.0013130210668843526
173,23,173,whole,0.001311779364052993
242,23,242,whole,0.0013045529333383398
156,23,156,whole,0.0012722227910029076
266,23,266,whole,0.0012219912178179331
464,23,464,whole,0.0012149734998353182
492,23,492,whole,0.0012144625155716727
78,23,78,whole,0.0012094146085427063
338,23,338,whole,0.001198478292843317
274,23,274,whole,0.0011962861016838982
210,23,210,whole,0.001190906779430389
49,23,49,whole,0.0011854487572247048
56,23,56,whole,0.0011836398695228955
33,23,33,whole,0.0011827623965580372
174,23,174,whole,0.0011826881592491558
377,23,377,whole,0.00116782928267759
35,23,35,whole,0.001154609917527799
465,23,465,whole,0.001137196169865208
6,23,6,whole,0.0010894057972083533
252,23,252,whole,0.0010700047769240657
206,23,206,whole,0.0010677032613881862
474,23,474,whole,0.0010646825832551126
437,23,437,whole,0.0010462440408369976
83,23,83,whole,0.0010456175430707461
180,23,180,whole,0.001023318126037112
233,23,233,whole,0.0010090347240177377
333,23,333,whole,0.0010068618931338604
74,23,74,whole,0.0010060861662744007
356,23,356,whole,0.0009684224207108006
424,23,424,whole,0.0009655174520528857
119,23,119,whole,0.0009618418734214616
276,23,276,whole,0.0009446489207030076
82,23,82,whole,0.0009416274446415067
21,23,21,whole,0.000936599730343385
328,23,328,whole,0.0009299549918949498
336,23,336,whole,0.0009197610603751069
311,23,311,whole,0.0009091139666601734
11,23,11,whole,0.0009042794074996226
431,23,431,whole,0.0008982152356066128
138,23,138,whole,0.0008961751269521411
372,23,372,whole,0.000894971611537938
350,23,350,whole,0.000892190765834715
123,23,123,whole,0.0008796463629321046
197,23,197,whole,0.0008741513370653459
52,23,52,whole,0.0008719851773933845
68,23,68,whole,0.0008527696656018324
458,23,458,whole,0.0008493798589939584
300,23,300,whole,0.0008462410224210773
509,23,509,whole,0.0008323528022586423
0,23,0,whole,0.000828527557980023
1,23,1,whole,0.0008258163494088827
66,23,66,whole,0.0008114474889615968
209,23,209,whole,0.00079361147342023
369,23,369,whole,0.0007817517676562246
285,23,285,whole,0.0007729177350260047
479,23,479,whole,0.0007711482071050804
442,23,442,whole,0.0007692162142222559
167,23,167,whole,0.0007658890027787198
494,23,494,whole,0.0007519680728269508
238,23,238,whole,0.0007488896997867916
394,23,394,whole,0.0007445375732649412
116,23,116,whole,0.0007366024317713959
92,23,92,whole,0.0007317078921437754
