,layer,filter,class_list,value
421,23,421,0,0.0009065608751064325
176,23,176,0,0.0004362991128118221
448,23,448,0,0.00042172715964713394
427,23,427,0,0.00035317682503384075
323,23,323,0,0.00030585655093791076
422,23,422,0,0.000304196877832652
218,23,218,0,0.00028979667743227465
235,23,235,0,0.0002673296648652124
207,23,207,0,0.0002670760363305269
201,23,201,0,0.00026498478256767875
259,23,259,0,0.0002624080511086424
511,23,511,0,0.00023692285358422048
34,23,34,0,0.00023232956118883762
224,23,224,0,0.0002191670162089432
469,23,469,0,0.00021556748263910075
305,23,305,0,0.00019931772195845853
265,23,265,0,0.00018749580365580166
368,23,368,0,0.00018448769370190687
120,23,120,0,0.00017425834316302512
484,23,484,0,0.00015584932002032925
367,23,367,0,0.00015543017034718164
217,23,217,0,0.00015068206437631737
303,23,303,0,0.000148867672410391
476,23,476,0,0.00014745790812367154
206,23,206,0,0.00012039177359234321
196,23,196,0,0.00011612918013952367
98,23,98,0,0.00011171623162563593
185,23,185,0,0.00010342020574034549
117,23,117,0,9.718124191107069e-05
142,23,142,0,9.351460862134786e-05
6,23,6,0,9.343143466613579e-05
287,23,287,0,8.358029047369486e-05
372,23,372,0,8.279431715836338e-05
249,23,249,0,8.187339713572328e-05
0,23,0,0,8.101407129577077e-05
464,23,464,0,7.686293843531811e-05
492,23,492,0,7.371083815178592e-05
242,23,242,0,7.20858681895531e-05
350,23,350,0,7.079626814170404e-05
508,23,508,0,7.012632786290718e-05
397,23,397,0,6.656687326309641e-05
390,23,390,0,6.612385863148384e-05
391,23,391,0,6.590738875819068e-05
389,23,389,0,6.525279983075061e-05
155,23,155,0,6.405369872289902e-05
172,23,172,0,6.345175437934003e-05
123,23,123,0,6.076799766850938e-05
154,23,154,0,5.9474714697160815e-05
102,23,102,0,5.87249810366619e-05
125,23,125,0,5.706842420477587e-05
183,23,183,0,5.690983030985919e-05
240,23,240,0,5.505350896299888e-05
160,23,160,0,5.476319785074901e-05
50,23,50,0,5.461166011534457e-05
139,23,139,0,5.438977566811776e-05
33,23,33,0,5.3574664706668165e-05
156,23,156,0,5.194257346198272e-05
285,23,285,0,5.047302814458199e-05
347,23,347,0,5.04078468246516e-05
466,23,466,0,5.0074599377702976e-05
177,23,177,0,4.9380363227391474e-05
209,23,209,0,4.683925819393142e-05
92,23,92,0,4.333754339317375e-05
101,23,101,0,4.1698315706995004e-05
320,23,320,0,4.09010371276608e-05
149,23,149,0,3.9921098563722166e-05
456,23,456,0,3.980072466551743e-05
22,23,22,0,3.812788287949065e-05
112,23,112,0,3.7952616447045616e-05
165,23,165,0,3.744654476361964e-05
68,23,68,0,3.733807016550461e-05
78,23,78,0,3.656832794917131e-05
11,23,11,0,3.5751632562275316e-05
73,23,73,0,3.54142895914844e-05
57,23,57,0,3.540457212487524e-05
8,23,8,0,3.488040281003357e-05
274,23,274,0,3.378975482500879e-05
41,23,41,0,3.241463382778198e-05
282,23,282,0,3.222150724142558e-05
24,23,24,0,3.207913401401807e-05
137,23,137,0,3.152271352142577e-05
111,23,111,0,3.139310320782185e-05
216,23,216,0,3.080171056260017e-05
202,23,202,0,3.0493562234901184e-05
432,23,432,0,2.9622350626334894e-05
475,23,475,0,2.8989509447252538e-05
460,23,460,0,2.894729588975853e-05
411,23,411,0,2.7888546738286112e-05
135,23,135,0,2.7849890577558155e-05
271,23,271,0,2.7035184937895806e-05
394,23,394,0,2.6983248318779295e-05
426,23,426,0,2.6153903856029893e-05
179,23,179,0,2.5467881663565616e-05
1,23,1,0,2.495760701134442e-05
43,23,43,0,2.448540395396659e-05
132,23,132,0,2.439629074366678e-05
23,23,23,0,2.3983411956640666e-05
39,23,39,0,2.3309632811341353e-05
451,23,451,0,2.1782646185619647e-05
231,23,231,0,2.1353405589152884e-05
166,23,166,0,2.134395149568924e-05
494,23,494,0,2.1132086659125805e-05
462,23,462,0,2.0245223041470696e-05
268,23,268,0,2.0233035702132973e-05
238,23,238,0,1.966956193395486e-05
81,23,81,0,1.9517375821898053e-05
478,23,478,0,1.921806332060294e-05
337,23,337,0,1.8839694828065578e-05
169,23,169,0,1.814109659781238e-05
270,23,270,0,1.8060119351126502e-05
153,23,153,0,1.78972789854015e-05
244,23,244,0,1.759418284905667e-05
429,23,429,0,1.7321331048014697e-05
25,23,25,0,1.7147772555603512e-05
489,23,489,0,1.6686382814246058e-05
331,23,331,0,1.5787263733146873e-05
250,23,250,0,1.5204879396601978e-05
104,23,104,0,1.5159601589054273e-05
21,23,21,0,1.5082669451782494e-05
343,23,343,0,1.464177701454572e-05
20,23,20,0,1.3724429486350331e-05
309,23,309,0,1.3564073933902687e-05
414,23,414,0,1.2500105346691103e-05
379,23,379,0,1.2183029039136706e-05
342,23,342,0,1.1823660582532814e-05
490,23,490,0,1.1752741661996691e-05
443,23,443,0,1.157212109591521e-05
420,23,420,0,1.1490803330949095e-05
157,23,157,0,1.1327796940741042e-05
77,23,77,0,1.0784860531620754e-05
29,23,29,0,1.027641013848779e-05
374,23,374,0,9.880407463547236e-06
470,23,470,0,9.742818615998684e-06
376,23,376,0,9.092185696546461e-06
144,23,144,0,8.543125632842763e-06
461,23,461,0,8.286643332633403e-06
510,23,510,0,8.096155156367412e-06
373,23,373,0,8.061067589004712e-06
181,23,181,0,7.91412192583385e-06
251,23,251,0,7.571906678849327e-06
418,23,418,0,7.294622052800292e-06
67,23,67,0,7.287946999112727e-06
18,23,18,0,7.0147069731296695e-06
233,23,233,0,6.725617767511238e-06
407,23,407,0,6.139329352483625e-06
468,23,468,0,5.9460227401220145e-06
425,23,425,0,5.770177673170007e-06
473,23,473,0,5.312184173389411e-06
346,23,346,0,4.668793414031036e-06
138,23,138,0,4.00502974368111e-06
