,layer,filter,class_list,value
507,26,507,whole,0.019444543388588913
201,26,201,whole,0.007499909506984351
178,26,178,whole,0.007072180353716745
359,26,359,whole,0.005701393930448178
457,26,457,whole,0.005636607708188849
393,26,393,whole,0.005147511137081858
167,26,167,whole,0.005122584859587946
502,26,502,whole,0.005000326667441097
208,26,208,whole,0.004855014644785461
427,26,427,whole,0.0046118418256013444
450,26,450,whole,0.00460472616447161
259,26,259,whole,0.004601423044151867
476,26,476,whole,0.0045055096813551385
34,26,34,whole,0.004491369840548924
102,26,102,whole,0.004289816834872538
139,26,139,whole,0.004271345427674669
80,26,80,whole,0.004187533604788858
311,26,311,whole,0.004115917488955418
202,26,202,whole,0.0040670755427484485
403,26,403,whole,0.004012012190016146
189,26,189,whole,0.003930191171682416
314,26,314,whole,0.003922392189914772
82,26,82,whole,0.003916747683181917
360,26,360,whole,0.00378426173875595
232,26,232,whole,0.003770568462420487
41,26,41,whole,0.003764037611495912
114,26,114,whole,0.0037557345045437646
349,26,349,whole,0.0037251097728988533
431,26,431,whole,0.0036969813741592945
406,26,406,whole,0.003690795752724784
165,26,165,whole,0.003639384749631572
454,26,454,whole,0.0036246523791371374
152,26,152,whole,0.0034563549029458527
336,26,336,whole,0.0033588681350951973
371,26,371,whole,0.003311123098850513
126,26,126,whole,0.0033021807018248465
138,26,138,whole,0.0032472610462889405
505,26,505,whole,0.0032412788375406286
161,26,161,whole,0.003206756011080901
321,26,321,whole,0.0031633422586859763
294,26,294,whole,0.0031259152975258984
100,26,100,whole,0.003102802081275799
169,26,169,whole,0.0029751404494933647
30,26,30,whole,0.0029674376449279464
451,26,451,whole,0.0029613747764511518
282,26,282,whole,0.002947397743710262
464,26,464,whole,0.002943484718158396
112,26,112,whole,0.0029339527998965696
487,26,487,whole,0.002916545125591698
245,26,245,whole,0.0029059728964219308
290,26,290,whole,0.0028803850048353193
11,26,11,whole,0.002836582704389099
3,26,3,whole,0.0027870493591861134
248,26,248,whole,0.0027778568197716477
308,26,308,whole,0.002764822551445325
240,26,240,whole,0.0027595149273258995
122,26,122,whole,0.0027058706085246196
235,26,235,whole,0.002696259789008256
387,26,387,whole,0.002678808314628182
241,26,241,whole,0.0026765314892717566
136,26,136,whole,0.0026403914054498783
456,26,456,whole,0.0026363072337368372
228,26,228,whole,0.002585728377909921
366,26,366,whole,0.0025736881249002848
455,26,455,whole,0.002551609760112255
108,26,108,whole,0.002546292366436808
129,26,129,whole,0.0024665262560923653
121,26,121,whole,0.0024593314441851604
236,26,236,whole,0.0024396466136685497
381,26,381,whole,0.002432488845252474
411,26,411,whole,0.0024179123466198326
243,26,243,whole,0.0024143120696447002
