,layer,filter,class_list,value
507,26,507,0,0.0008201106820588166
403,26,403,0,0.0005820768553373657
282,26,282,0,0.0005147758813248693
201,26,201,0,0.0004682479570221498
359,26,359,0,0.0004587405783760379
153,26,153,0,0.0004398830885334437
335,26,335,0,0.00041117356700400844
382,26,382,0,0.00037382903426452785
68,26,68,0,0.0003466553685044893
378,26,378,0,0.0003328264161624461
339,26,339,0,0.000322507639763181
200,26,200,0,0.00031091417370940897
34,26,34,0,0.00030734939424076346
199,26,199,0,0.0003024769758521173
480,26,480,0,0.000300482987836459
85,26,85,0,0.00029908054232951063
393,26,393,0,0.000297653333006187
252,26,252,0,0.00028871429216318354
144,26,144,0,0.0002873051573074714
139,26,139,0,0.00028463873058689473
178,26,178,0,0.00028401810830526176
379,26,379,0,0.00028395950763091535
255,26,255,0,0.0002812644215781868
96,26,96,0,0.00027837479104664276
285,26,285,0,0.00027464451736147755
455,26,455,0,0.00027391746654568114
104,26,104,0,0.00026887321553346053
82,26,82,0,0.00026655955534448105
167,26,167,0,0.00026655555696714073
454,26,454,0,0.0002605362501271191
235,26,235,0,0.0002588825269474682
244,26,244,0,0.00025873704455622317
504,26,504,0,0.0002540000030332057
80,26,80,0,0.0002497578813839163
140,26,140,0,0.0002428282752763078
187,26,187,0,0.0002382671628586519
462,26,462,0,0.00023635827147935328
427,26,427,0,0.00023318131075967808
57,26,57,0,0.0002278073219943999
368,26,368,0,0.00022019297152751083
71,26,71,0,0.00021731825662113513
381,26,381,0,0.00020489023467641366
329,26,329,0,0.00020303651168651626
30,26,30,0,0.000196908155318809
283,26,283,0,0.00019497850825410666
86,26,86,0,0.0001947138973459217
48,26,48,0,0.00019171357821101687
240,26,240,0,0.00018773251649721877
461,26,461,0,0.00018746732660864795
9,26,9,0,0.0001873002668112078
336,26,336,0,0.00018127470822316695
2,26,2,0,0.00018019346527776704
142,26,142,0,0.00017873317845231717
121,26,121,0,0.00017432504625621847
19,26,19,0,0.00017173684165091573
380,26,380,0,0.0001692746792532729
248,26,248,0,0.00016677553231365662
481,26,481,0,0.00016492214351726542
36,26,36,0,0.00016040376681037972
84,26,84,0,0.00015957162112641975
197,26,197,0,0.00015904955621038886
100,26,100,0,0.00015815645043676385
495,26,495,0,0.00015704192893976066
97,26,97,0,0.00015449004873600015
143,26,143,0,0.00015437357907680527
489,26,489,0,0.00015342080463196517
7,26,7,0,0.000152263964006627
508,26,508,0,0.00015002295807822196
180,26,180,0,0.0001490077353523245
279,26,279,0,0.00014831301227337114
446,26,446,0,0.00014409938972536062
58,26,58,0,0.00014208989355235513
214,26,214,0,0.00014030377809313155
486,26,486,0,0.00013851014631280912
474,26,474,0,0.00013634573765293202
453,26,453,0,0.00013592307410815742
308,26,308,0,0.00013474576927001712
