,layer,filter,class_list,value
16,5,16,whole,0.024387400857068475
46,5,46,whole,0.019068247073758902
49,5,49,whole,0.01673463091055046
45,5,45,whole,0.007498315609112098
31,5,31,whole,0.006771853700945527
1,5,1,whole,0.006481298112580783
38,5,38,whole,0.0035202660064917713
23,5,23,whole,0.003170088480911131
59,5,59,whole,0.002980855512847856
5,5,5,whole,0.0017880104460489474
6,5,6,whole,0.0016376456714480396
53,5,53,whole,0.0015149551521574662
25,5,25,whole,0.001285522471201628
63,5,63,whole,0.0011919684080009534
60,5,60,whole,0.001148859905585395
48,5,48,whole,0.0009715366834390249
50,5,50,whole,0.0007403955732148313
27,5,27,whole,0.0007106164796395163
0,5,0,whole,0.0006964049088134611
62,5,62,whole,0.0005495528827899778
32,5,32,whole,0.00027996259728796076
30,5,30,whole,0.00016901644242853605
19,5,19,whole,2.4599854757138136e-05
14,5,14,whole,4.116674906427115e-06
54,5,54,whole,4.116674906427115e-06
9,5,9,whole,0.0
10,5,10,whole,0.0
11,5,11,whole,0.0
13,5,13,whole,0.0
15,5,15,whole,0.0
17,5,17,whole,0.0
20,5,20,whole,0.0
22,5,22,whole,0.0
24,5,24,whole,0.0
29,5,29,whole,0.0
33,5,33,whole,0.0
34,5,34,whole,0.0
51,5,51,whole,0.0
55,5,55,whole,0.0
56,5,56,whole,0.0
57,5,57,whole,0.0
61,5,61,whole,0.0
47,5,47,whole,-4.122907566215389e-06
39,5,39,whole,-8.251957940414522e-06
37,5,37,whole,-2.164849981012443e-05
3,5,3,whole,-0.00015557319998903677
2,5,2,whole,-0.0010318719518668039
36,5,36,whole,-0.0011144478694294659
58,5,58,whole,-0.0012297970842338971
44,5,44,whole,-0.003148690188884856
8,5,8,whole,-0.0033258172234897298
21,5,21,whole,-0.004022629396252167
4,5,4,whole,-0.00484488744910497
52,5,52,whole,-0.005008917944614122
41,5,41,whole,-0.005042214763333414
28,5,28,whole,-0.006665342439145905
18,5,18,whole,-0.007035202151132335
35,5,35,whole,-0.009300120546032497
26,5,26,whole,-0.011567367722888985
40,5,40,whole,-0.0120913759172389
43,5,43,whole,-0.01732198102402214
42,5,42,whole,-0.017792615583536328
12,5,12,whole,-0.02812274253699229
7,5,7,whole,-0.029509063728486874
