,layer,filter,class_list,value
23,39,23,0,0.002499047103569696
93,39,93,0,0.00044699809809096714
97,39,97,0,0.0003957310233200895
36,39,36,0,0.0003775122624138483
80,39,80,0,0.00034902472876625624
51,39,51,0,0.0002599495958432008
104,39,104,0,0.0002274503223814839
29,39,29,0,0.00020196798854954512
65,39,65,0,0.00019166023621469686
76,39,76,0,0.00016703575808822978
22,39,22,0,0.00016096131568674732
79,39,79,0,0.00014930361053792086
66,39,66,0,0.00014368685910772782
31,39,31,0,0.00012805097691410695
85,39,85,0,0.00011976507371080913
21,39,21,0,0.00011867699064290748
94,39,94,0,0.00011185498922388071
61,39,61,0,0.0001100708882269652
3,39,3,0,0.0001094424575767916
12,39,12,0,0.00010492632761635034
34,39,34,0,8.598573613259886e-05
46,39,46,0,8.51942926630711e-05
0,39,0,0,8.420731071471233e-05
55,39,55,0,7.999355241541383e-05
121,39,121,0,7.94389913638338e-05
82,39,82,0,7.130339216760983e-05
117,39,117,0,6.726476113591006e-05
60,39,60,0,6.687802566218704e-05
30,39,30,0,6.681206891218094e-05
105,39,105,0,6.572849446278007e-05
18,39,18,0,6.095981426713637e-05
32,39,32,0,5.883365619516745e-05
111,39,111,0,5.613803635751147e-05
54,39,54,0,4.4755017869391175e-05
50,39,50,0,4.4142886708653516e-05
4,39,4,0,3.8857352137366966e-05
20,39,20,0,3.315055163634062e-05
58,39,58,0,2.7742435061528514e-05
8,39,8,0,2.7297789829006102e-05
43,39,43,0,2.1145241386688607e-05
125,39,125,0,2.0938554884919468e-05
40,39,40,0,1.9734247195313248e-05
91,39,91,0,1.6066608979159457e-05
48,39,48,0,1.578310430053742e-05
110,39,110,0,1.174389153990596e-05
6,39,6,0,7.127754149860443e-06
120,39,120,0,6.434583743175626e-06
37,39,37,0,4.715593370396842e-06
2,39,2,0,1.7632336114736803e-06
71,39,71,0,9.21394424646671e-07
9,39,9,0,8.41890086922259e-07
17,39,17,0,-2.4098357739532617e-06
99,39,99,0,-5.126163703994547e-06
127,39,127,0,-5.225011261833501e-06
123,39,123,0,-5.345020928149147e-06
72,39,72,0,-5.38016109944417e-06
77,39,77,0,-8.383376040188572e-06
115,39,115,0,-9.682177272107851e-06
7,39,7,0,-1.1526597588895626e-05
114,39,114,0,-1.1577548998842336e-05
26,39,26,0,-1.6831917313042676e-05
45,39,45,0,-1.7723662861512945e-05
39,39,39,0,-1.8574224248113502e-05
106,39,106,0,-1.870018061292944e-05
107,39,107,0,-2.0413775299366054e-05
98,39,98,0,-2.2503301271059594e-05
100,39,100,0,-2.7113999370276254e-05
24,39,24,0,-3.153193147678035e-05
101,39,101,0,-3.298197334180575e-05
44,39,44,0,-3.730673669506412e-05
19,39,19,0,-4.4324323901379084e-05
64,39,64,0,-4.6109963377416464e-05
53,39,53,0,-5.076346161890788e-05
92,39,92,0,-5.0956484481989864e-05
10,39,10,0,-5.2290398307330846e-05
103,39,103,0,-6.001626874312383e-05
56,39,56,0,-6.080409083285554e-05
73,39,73,0,-6.410340551069594e-05
67,39,67,0,-6.446580394233736e-05
16,39,16,0,-6.560636734187497e-05
38,39,38,0,-6.826682228359138e-05
109,39,109,0,-7.36767619072931e-05
35,39,35,0,-7.959795030142436e-05
78,39,78,0,-8.56999241434675e-05
81,39,81,0,-8.865461467948421e-05
14,39,14,0,-9.094037134534937e-05
96,39,96,0,-9.135663002646233e-05
33,39,33,0,-9.200096384868184e-05
108,39,108,0,-9.833028728852832e-05
49,39,49,0,-0.00010709177009247118
86,39,86,0,-0.00011289340518438884
69,39,69,0,-0.00011777329737326925
52,39,52,0,-0.00012265832082624105
15,39,15,0,-0.00012362812863927485
126,39,126,0,-0.0001326848937451053
102,39,102,0,-0.00013326691737495234
122,39,122,0,-0.00014907200099820717
113,39,113,0,-0.00015041481823940828
41,39,41,0,-0.00016024190127572613
118,39,118,0,-0.00016466996013786428
75,39,75,0,-0.00017990568966775867
42,39,42,0,-0.00018749276843965657
83,39,83,0,-0.00023374082593229372
13,39,13,0,-0.0002480786406331648
63,39,63,0,-0.00027052349585166
11,39,11,0,-0.00027093188196668504
89,39,89,0,-0.0002818819535566397
87,39,87,0,-0.000294904660530948
62,39,62,0,-0.0003020086347994999
119,39,119,0,-0.0003105170829193482
112,39,112,0,-0.00035287542409484507
27,39,27,0,-0.0003579491679505553
84,39,84,0,-0.0003929213433865097
25,39,25,0,-0.0003994990120884223
90,39,90,0,-0.00041598096542269094
57,39,57,0,-0.0004941619930622032
28,39,28,0,-0.0005329357692545166
70,39,70,0,-0.0005657103698671895
124,39,124,0,-0.0005764304793518304
59,39,59,0,-0.0006449486226313472
74,39,74,0,-0.0006564791773062351
5,39,5,0,-0.0006575106692798816
116,39,116,0,-0.0006889379708034715
95,39,95,0,-0.0007072502695719462
68,39,68,0,-0.0007679061633971585
88,39,88,0,-0.0009042400093236758
47,39,47,0,-0.0010324803999215426
1,39,1,0,-0.001151342408516698
