,layer,filter,class_list,value
16,45,16,0,0.00042580816832277213
5,45,5,0,0.0003667247877707336
3,45,3,0,0.00030028217338857744
68,45,68,0,0.00026711813826475473
109,45,109,0,0.0002485020693569151
97,45,97,0,0.0002455893854976021
86,45,86,0,0.0002312985260835343
56,45,56,0,0.00020908646483351888
59,45,59,0,0.00019624104163985524
114,45,114,0,0.0001905859926732978
87,45,87,0,0.0001723034518806621
66,45,66,0,0.00015434730576064927
46,45,46,0,0.00015139708135291085
127,45,127,0,0.00014726752623921423
85,45,85,0,0.00014687736188156997
2,45,2,0,0.00013809315242343522
0,45,0,0,0.0001312809957040195
17,45,17,0,0.0001282383705448642
103,45,103,0,0.00012659528072405112
48,45,48,0,0.0001200389711611738
15,45,15,0,0.0001158737030083734
104,45,104,0,0.0001137332429037019
110,45,110,0,0.00010334736443857739
10,45,10,0,8.294646845260489e-05
84,45,84,0,8.229913759780772e-05
58,45,58,0,8.138969405652174e-05
13,45,13,0,8.124203166787192e-05
35,45,35,0,8.108200407577204e-05
61,45,61,0,7.502516951083394e-05
83,45,83,0,6.770105992085496e-05
67,45,67,0,6.520112691500435e-05
21,45,21,0,6.12885399673968e-05
25,45,25,0,4.9664979426478076e-05
81,45,81,0,4.916452981997832e-05
41,45,41,0,4.9142846317018485e-05
91,45,91,0,4.884013792721964e-05
24,45,24,0,4.1373169540426245e-05
27,45,27,0,4.0835345307699275e-05
71,45,71,0,3.978688568488931e-05
47,45,47,0,3.82346510860887e-05
39,45,39,0,3.699089529729527e-05
94,45,94,0,3.545332627546971e-05
40,45,40,0,2.847664289654661e-05
80,45,80,0,2.6141816004565665e-05
1,45,1,0,2.3076717020775738e-05
4,45,4,0,2.2467437592532668e-05
117,45,117,0,1.5065579674267138e-05
51,45,51,0,1.4164994671150843e-05
36,45,36,0,8.67004311579933e-06
69,45,69,0,6.163105379919376e-06
49,45,49,0,3.1116040524525878e-06
57,45,57,0,2.4161071619621664e-06
8,45,8,0,1.9326108547823574e-06
38,45,38,0,-8.9835931219584e-07
124,45,124,0,-1.9603892148722935e-06
11,45,11,0,-2.9212704105274765e-06
113,45,113,0,-3.1840397119120568e-06
98,45,98,0,-3.3893948316987553e-06
119,45,119,0,-5.0445801144993755e-06
116,45,116,0,-1.2515671828861041e-05
29,45,29,0,-1.4356439859575242e-05
88,45,88,0,-1.79158339896901e-05
101,45,101,0,-1.8083149804737354e-05
23,45,23,0,-2.0069754564933096e-05
26,45,26,0,-2.217949642000505e-05
122,45,122,0,-2.6751731047436333e-05
44,45,44,0,-2.798432469957035e-05
7,45,7,0,-3.127995947342921e-05
96,45,96,0,-3.2538869241638404e-05
65,45,65,0,-3.3806518649515115e-05
123,45,123,0,-3.473409096572677e-05
6,45,6,0,-3.743947217247356e-05
64,45,64,0,-4.16152822514837e-05
20,45,20,0,-4.391174163641543e-05
63,45,63,0,-4.4490609404601586e-05
126,45,126,0,-4.978695862951632e-05
76,45,76,0,-5.3246940598616896e-05
102,45,102,0,-5.383539853428543e-05
34,45,34,0,-5.565856234638344e-05
99,45,99,0,-6.208363255688631e-05
30,45,30,0,-6.689591363270297e-05
33,45,33,0,-8.473076125290469e-05
93,45,93,0,-8.54788950277685e-05
12,45,12,0,-9.011452923692875e-05
107,45,107,0,-9.015458101138129e-05
14,45,14,0,-9.261561727738065e-05
77,45,77,0,-9.563702697256149e-05
120,45,120,0,-0.00010171686457122187
22,45,22,0,-0.00011592307276198088
105,45,105,0,-0.00012730585011748729
31,45,31,0,-0.00012756020089823572
53,45,53,0,-0.0001295213464937328
121,45,121,0,-0.00013156763708743746
115,45,115,0,-0.00015737185245427997
118,45,118,0,-0.0001583035913694353
100,45,100,0,-0.000158385626655122
28,45,28,0,-0.00017721357745178467
106,45,106,0,-0.0001795631862305247
72,45,72,0,-0.00017979027416225034
111,45,111,0,-0.00023134286000672243
62,45,62,0,-0.00023458759377609217
73,45,73,0,-0.00023807202724344113
32,45,32,0,-0.0002397861792305278
55,45,55,0,-0.00024379043122554344
95,45,95,0,-0.0002556194176107307
50,45,50,0,-0.0002574822829716994
54,45,54,0,-0.0002911521135125272
82,45,82,0,-0.0003233299905370579
45,45,45,0,-0.0003274602182137598
108,45,108,0,-0.0003361150732397733
9,45,9,0,-0.00035467090115899326
125,45,125,0,-0.00037897009412229954
75,45,75,0,-0.0003928514407156025
52,45,52,0,-0.00039597138204606753
74,45,74,0,-0.0003978398449350995
89,45,89,0,-0.00041476982741325277
112,45,112,0,-0.00043039931664008436
79,45,79,0,-0.00044847579020739213
90,45,90,0,-0.00045014879926985607
18,45,18,0,-0.0004682366032512819
92,45,92,0,-0.0005885882072641846
19,45,19,0,-0.0007199390474640132
37,45,37,0,-0.0007435576394055343
78,45,78,0,-0.0008051369880360592
60,45,60,0,-0.0009671677417056324
70,45,70,0,-0.001123191873099627
42,45,42,0,-0.0012337227129837758
43,45,43,0,-0.001384258205047273
