,layer,filter,class_list,value
127,9,127,whole,0.008112507654188129
80,9,80,whole,0.004729697333786486
2,9,2,whole,0.0042812955658658326
111,9,111,whole,0.0038880075807645035
123,9,123,whole,0.0030188525340536115
15,9,15,whole,0.00294806385928007
58,9,58,whole,0.0028550323589739803
101,9,101,whole,0.002779155981784251
24,9,24,whole,0.002224922397023077
43,9,43,whole,0.002214671967918549
75,9,75,whole,0.002203421027983648
91,9,91,whole,0.002100192940808898
23,9,23,whole,0.002032766924091472
27,9,27,whole,0.0019818127560262983
57,9,57,whole,0.001758658433467937
63,9,63,whole,0.0017083260690190633
37,9,37,whole,0.0016869670947456579
92,9,92,whole,0.0016750356886984258
28,9,28,whole,0.001435408518636335
21,9,21,whole,0.0012768268235574588
114,9,114,whole,0.001270139615674927
124,9,124,whole,0.0012328052322538652
106,9,106,whole,0.0009569207343366082
64,9,64,whole,0.0009085008656118264
72,9,72,whole,0.0008838711510331665
47,9,47,whole,0.0008617484601248372
102,9,102,whole,0.0008444258422701286
44,9,44,whole,0.0008265435229184396
26,9,26,whole,0.000770214303429001
31,9,31,whole,0.000679176687711902
61,9,61,whole,0.0005083330945274842
93,9,93,whole,0.0004687448469113454
46,9,46,whole,0.0004487837309062985
108,9,108,whole,0.00042890454430465855
81,9,81,whole,0.00041928272629522827
100,9,100,whole,0.0004118943309599929
103,9,103,whole,0.0003546240137179783
51,9,51,whole,0.0003530607372019382
56,9,56,whole,0.00026775800697712753
85,9,85,whole,0.00023201779216251267
11,9,11,whole,0.00019449075223272057
30,9,30,whole,0.00019405011415590993
12,9,12,whole,0.00014385121806763534
71,9,71,whole,0.00011352848925575004
115,9,115,whole,0.00010869869868768977
20,9,20,whole,9.311315855227748e-05
98,9,98,whole,8.545636712608863e-05
90,9,90,whole,7.1561129248632e-05
96,9,96,whole,7.02685047465728e-05
3,9,3,whole,5.48739906706853e-05
49,9,49,whole,3.217216292628637e-05
86,9,86,whole,2.805528062089369e-05
33,9,33,whole,2.805517660396384e-05
87,9,87,whole,2.4599958774067984e-05
36,9,36,whole,2.0483283867640874e-05
105,9,105,whole,1.8032325248597016e-05
34,9,34,whole,1.7170285121318797e-05
54,9,54,whole,1.0456635088657105e-05
39,9,39,whole,4.116674906427115e-06
6,9,6,whole,1.0401692985365429e-10
0,9,0,whole,0.0
5,9,5,whole,0.0
10,9,10,whole,0.0
14,9,14,whole,0.0
18,9,18,whole,0.0
22,9,22,whole,0.0
25,9,25,whole,0.0
29,9,29,whole,0.0
45,9,45,whole,0.0
52,9,52,whole,0.0
59,9,59,whole,0.0
62,9,62,whole,0.0
70,9,70,whole,0.0
77,9,77,whole,0.0
84,9,84,whole,0.0
97,9,97,whole,0.0
110,9,110,whole,0.0
116,9,116,whole,0.0
117,9,117,whole,0.0
120,9,120,whole,0.0
121,9,121,whole,0.0
126,9,126,whole,0.0
78,9,78,whole,-1.4972521461452394e-06
40,9,40,whole,-4.1228035492855354e-06
66,9,66,whole,-1.9383406603468157e-05
122,9,122,whole,-2.1711575142865858e-05
79,9,79,whole,-2.3603221945741466e-05
69,9,69,whole,-3.22418458627273e-05
73,9,73,whole,-3.2644652932654634e-05
1,9,1,whole,-3.759784738549682e-05
95,9,95,whole,-6.194752124478427e-05
9,9,9,whole,-8.288587236095491e-05
53,9,53,whole,-8.309597637381917e-05
76,9,76,whole,-8.4467816427123e-05
94,9,94,whole,-0.00012119492808490995
119,9,119,whole,-0.00017119833325634609
107,9,107,whole,-0.00022565712432663713
65,9,65,whole,-0.00023576934694243215
4,9,4,whole,-0.0002909063915740542
8,9,8,whole,-0.00046771938964443446
16,9,16,whole,-0.0005580744876235295
13,9,13,whole,-0.0006380690813509989
7,9,7,whole,-0.0007077420740965092
125,9,125,whole,-0.00073792859729453
99,9,99,whole,-0.0007602676280317776
35,9,35,whole,-0.0007674392777653859
38,9,38,whole,-0.0008347099902874979
68,9,68,whole,-0.0008422647873628858
48,9,48,whole,-0.0008841557450951353
50,9,50,whole,-0.0009092857447853548
82,9,82,whole,-0.0009112756032879608
41,9,41,whole,-0.000917430922903556
42,9,42,whole,-0.000964086637537924
74,9,74,whole,-0.0010194915866314838
67,9,67,whole,-0.0010341732961318855
32,9,32,whole,-0.0010982807691533928
83,9,83,whole,-0.0011068604121567565
112,9,112,whole,-0.0012907130769608751
109,9,109,whole,-0.0014141485165386238
55,9,55,whole,-0.0016663617025670305
19,9,19,whole,-0.001911941723504565
89,9,89,whole,-0.0022317867239859427
118,9,118,whole,-0.0022627092555288046
88,9,88,whole,-0.002315412274663256
113,9,113,whole,-0.002578225407006528
60,9,60,whole,-0.0028383132671074944
17,9,17,whole,-0.004408016864347641
104,9,104,whole,-0.004427169056715622
