,layer,filter,class_list,value
127,9,127,0,0.0009053984147763706
27,9,27,0,0.00048540873966368414
58,9,58,0,0.00038464569404212946
13,9,13,0,0.000337218059715183
23,9,23,0,0.00033357577507219237
37,9,37,0,0.0003209217433512546
75,9,75,0,0.00030786454436345647
57,9,57,0,0.00023969665112200111
98,9,98,0,0.00020778027764719597
24,9,24,0,0.00019499811379021238
123,9,123,0,0.00018095418304377996
106,9,106,0,0.0001605253853170785
124,9,124,0,0.0001439289584519332
71,9,71,0,0.00014305866105611685
8,9,8,0,0.00011225626469403282
28,9,28,0,0.00010721236071473684
2,9,2,0,8.35593751655761e-05
94,9,94,0,8.239193555916735e-05
92,9,92,0,6.925434240920847e-05
21,9,21,0,6.210592480923038e-05
64,9,64,0,4.953089298660451e-05
44,9,44,0,4.809545145016969e-05
61,9,61,0,3.761986139529938e-05
47,9,47,0,3.7175308972436925e-05
108,9,108,0,3.5425672068956084e-05
32,9,32,0,3.530021053252952e-05
81,9,81,0,3.406427131419365e-05
12,9,12,0,2.464390051198917e-05
103,9,103,0,2.0671934664950876e-05
79,9,79,0,1.3629782105539779e-05
51,9,51,0,1.134163534842747e-05
122,9,122,0,6.332093256178339e-06
119,9,119,0,5.587626012726332e-06
86,9,86,0,4.438359728653473e-06
34,9,34,0,3.4009014868274788e-06
114,9,114,0,2.0947950200911335e-06
10,9,10,0,1.7792354714107895e-06
33,9,33,0,1.7694542960300375e-06
6,9,6,0,1.7678244291108313e-06
14,9,14,0,9.038769520852696e-07
70,9,70,0,8.896098948274478e-07
96,9,96,0,8.644723728190584e-07
0,9,0,0,0.0
5,9,5,0,0.0
18,9,18,0,0.0
22,9,22,0,0.0
25,9,25,0,0.0
29,9,29,0,0.0
36,9,36,0,0.0
39,9,39,0,0.0
40,9,40,0,0.0
45,9,45,0,0.0
52,9,52,0,0.0
59,9,59,0,0.0
62,9,62,0,0.0
77,9,77,0,0.0
84,9,84,0,0.0
87,9,87,0,0.0
97,9,97,0,0.0
110,9,110,0,0.0
116,9,116,0,0.0
117,9,117,0,0.0
120,9,120,0,0.0
121,9,121,0,0.0
126,9,126,0,0.0
78,9,78,0,-2.875596557538884e-08
66,9,66,0,-9.06349998408551e-07
9,9,9,0,-9.256188775563779e-07
30,9,30,0,-9.447867849954328e-07
69,9,69,0,-1.7694048783267746e-06
49,9,49,0,-1.7889095410006384e-06
73,9,73,0,-4.457194404516862e-06
93,9,93,0,-4.986949422858267e-06
115,9,115,0,-6.181838545904483e-06
105,9,105,0,-7.053592434291822e-06
107,9,107,0,-9.731020012582192e-06
56,9,56,0,-1.0499747689052264e-05
54,9,54,0,-1.629092552902778e-05
53,9,53,0,-2.382956393403024e-05
3,9,3,0,-2.390084898469258e-05
11,9,11,0,-2.3994369320290422e-05
90,9,90,0,-2.906932242460192e-05
65,9,65,0,-2.9484650655819954e-05
20,9,20,0,-3.201581979754842e-05
35,9,35,0,-3.9603317231540204e-05
4,9,4,0,-4.0755749730425615e-05
43,9,43,0,-5.238985047185673e-05
42,9,42,0,-6.900096042929959e-05
16,9,16,0,-6.919943203566037e-05
48,9,48,0,-7.056932799009985e-05
95,9,95,0,-7.478228518630337e-05
109,9,109,0,-8.867240712490121e-05
104,9,104,0,-9.327442680923115e-05
38,9,38,0,-9.948547390674634e-05
99,9,99,0,-0.00011733447040828127
118,9,118,0,-0.0001411204272374067
67,9,67,0,-0.00015546192863975518
82,9,82,0,-0.00015893822678637594
50,9,50,0,-0.00016463744681997073
7,9,7,0,-0.00017660705935736986
80,9,80,0,-0.00019065172110739327
101,9,101,0,-0.00020556159821114584
112,9,112,0,-0.00021706110127933664
125,9,125,0,-0.00022121363751199664
63,9,63,0,-0.00022524637946399472
85,9,85,0,-0.00022654132007786653
88,9,88,0,-0.00027579696130585195
76,9,76,0,-0.0002851655571333045
74,9,74,0,-0.0002919448695908655
17,9,17,0,-0.0003320446844929159
68,9,68,0,-0.0003623978897091762
91,9,91,0,-0.00037970823164459324
113,9,113,0,-0.0004157279527286173
55,9,55,0,-0.0004557960121284732
60,9,60,0,-0.00048683552026763667
111,9,111,0,-0.0004985768341227659
1,9,1,0,-0.0006023370178188658
100,9,100,0,-0.0006432813459104514
83,9,83,0,-0.0006868947770000911
46,9,46,0,-0.0007115784058065455
41,9,41,0,-0.0007187444499157425
102,9,102,0,-0.0007309860567445648
19,9,19,0,-0.0007479117782060784
31,9,31,0,-0.0007562284711611578
89,9,89,0,-0.0007807538545964943
26,9,26,0,-0.0008868696302494428
72,9,72,0,-0.0009673824004568843
15,9,15,0,-0.0012267054424006663
