,layer,filter,class_list,value
51,47,51,whole,0.017768217912862882
43,47,43,whole,0.017036818098580493
30,47,30,whole,0.010943247561080427
56,47,56,whole,0.009337851841341291
27,47,27,whole,0.0066862973916728755
54,47,54,whole,0.006568860540444611
58,47,58,whole,0.006182678771109932
55,47,55,whole,0.005493182259318904
48,47,48,whole,0.005424063783369709
13,47,13,whole,0.005191841296638709
17,47,17,whole,0.004013652919774094
39,47,39,whole,0.003496860302250146
35,47,35,whole,0.0031474952111412748
49,47,49,whole,0.0023967166823002694
38,47,38,whole,0.002220375673034277
11,47,11,whole,0.0022065954276524235
18,47,18,whole,0.0019246617491782859
36,47,36,whole,0.0017751380926010155
46,47,46,whole,0.0014015678737337826
15,47,15,whole,0.0013864645618096763
25,47,25,whole,0.0013681483091466942
19,47,19,whole,0.0011706002775273686
12,47,12,whole,0.0010575915202375886
63,47,63,whole,0.0008828144567118137
0,47,0,whole,0.0008679213023292415
26,47,26,whole,0.000746448820975909
50,47,50,whole,0.0007174335335945872
32,47,32,whole,0.0005222019079440533
9,47,9,whole,0.0003945250391095403
60,47,60,whole,0.0003179315965422762
21,47,21,whole,0.00030520404430295844
23,47,23,whole,0.00025839665290274043
5,47,5,whole,0.00023047630045728434
42,47,42,whole,0.0001834083641417586
47,47,47,whole,0.00011638399309658618
10,47,10,whole,0.0
31,47,31,whole,-4.807899267432166e-05
45,47,45,whole,-8.764904250054741e-05
37,47,37,whole,-0.00010598809458272334
44,47,44,whole,-0.000120034117456578
3,47,3,whole,-0.0001248953560362448
7,47,7,whole,-0.00020753589337643084
61,47,61,whole,-0.0002873560593457253
53,47,53,whole,-0.00039907758306368513
20,47,20,whole,-0.0005190891643276419
62,47,62,whole,-0.0005296615151630611
8,47,8,whole,-0.0006807415247021272
1,47,1,whole,-0.0009375819235841514
28,47,28,whole,-0.0010286734962617033
41,47,41,whole,-0.0012311938524346105
6,47,6,whole,-0.0014271181733696008
24,47,24,whole,-0.0015002297585916687
33,47,33,whole,-0.0018468351278161036
29,47,29,whole,-0.001876599353464729
34,47,34,whole,-0.0023903866934597323
40,47,40,whole,-0.0029059024286960606
22,47,22,whole,-0.003273164778918389
57,47,57,whole,-0.0037645414175271454
2,47,2,whole,-0.004202769418562568
59,47,59,whole,-0.00491072685446565
4,47,4,whole,-0.005201218837226386
52,47,52,whole,-0.005967754032001914
14,47,14,whole,-0.006266673744725487
16,47,16,whole,-0.010873667139256605
