,layer,filter,class_list,value
43,47,43,0,0.0013306569646505894
30,47,30,0,0.0008550912522720777
56,47,56,0,0.0006654450627146758
55,47,55,0,0.0005377175911856936
54,47,54,0,0.0004629503364539711
13,47,13,0,0.0004162217624489761
48,47,48,0,0.000374674011400189
17,47,17,0,0.00032709597742792696
11,47,11,0,0.0002568528154185179
23,47,23,0,0.00018591985281942724
35,47,35,0,0.00016489048651956438
2,47,2,0,0.00015751083537383082
49,47,49,0,0.00015437133678315452
0,47,0,0,0.0001349957174030969
37,47,37,0,0.00012786401170538085
18,47,18,0,0.00012158417112709819
33,47,33,0,0.000109890448151706
15,47,15,0,0.00010367426954769333
28,47,28,0,9.932574615514333e-05
19,47,19,0,9.298017832874983e-05
63,47,63,0,8.431801368431468e-05
50,47,50,0,7.660358703722724e-05
38,47,38,0,7.118252645846868e-05
14,47,14,0,7.073289938962502e-05
25,47,25,0,6.381108841742033e-05
32,47,32,0,6.006425429202489e-05
42,47,42,0,4.9851313937210315e-05
46,47,46,0,4.972279827200055e-05
60,47,60,0,4.741492339535025e-05
21,47,21,0,4.5552874104748395e-05
26,47,26,0,4.339046908530264e-05
53,47,53,0,3.8995523506846205e-05
9,47,9,0,3.3144004157936724e-05
47,47,47,0,1.1400627573843191e-05
5,47,5,0,1.0997485261077245e-05
31,47,31,0,8.80641914027258e-06
12,47,12,0,2.2539920109476697e-06
45,47,45,0,5.074274053273875e-07
44,47,44,0,6.027772513350626e-08
10,47,10,0,0.0
7,47,7,0,-1.1572899654743728e-05
6,47,6,0,-1.804377332838003e-05
20,47,20,0,-1.8438170089662975e-05
62,47,62,0,-2.3649619906929154e-05
36,47,36,0,-2.5955119264553516e-05
29,47,29,0,-4.242266140557227e-05
27,47,27,0,-4.7518618324182696e-05
8,47,8,0,-6.120663902487999e-05
39,47,39,0,-7.442804996113939e-05
1,47,1,0,-7.444476301230463e-05
41,47,41,0,-7.548825657098801e-05
34,47,34,0,-0.0001137580207716482
40,47,40,0,-0.00022778724275884787
22,47,22,0,-0.00028011176965360153
3,47,3,0,-0.0002870710326234871
4,47,4,0,-0.00034066760468032253
24,47,24,0,-0.0004227819090697138
61,47,61,0,-0.0004464871600626585
51,47,51,0,-0.0006029359021444414
52,47,52,0,-0.000728795899891943
58,47,58,0,-0.001402341241125271
57,47,57,0,-0.0021791059162568293
59,47,59,0,-0.0024326828396400656
16,47,16,0,-0.002460477879307521
