,layer,filter,class_list,value
17,15,17,0,0.0001689693219730226
35,15,35,0,0.00012629066865578188
31,15,31,0,0.00012515959138408305
118,15,118,0,0.00011652456305240033
90,15,90,0,0.00010886659965837486
5,15,5,0,0.00010658713153738342
98,15,98,0,0.00010646150461134374
100,15,100,0,0.00010104428623846085
85,15,85,0,0.00010087904295112971
62,15,62,0,9.449899221034564e-05
56,15,56,0,5.56337952496988e-05
36,15,36,0,5.408917386323653e-05
114,15,114,0,5.164190015940484e-05
74,15,74,0,5.0830065701801265e-05
122,15,122,0,4.7413488862546596e-05
91,15,91,0,4.6297701648923e-05
115,15,115,0,4.057821678253859e-05
68,15,68,0,3.5348617843788956e-05
30,15,30,0,3.423931036983241e-05
86,15,86,0,2.9465821191154705e-05
20,15,20,0,2.7056366264255338e-05
112,15,112,0,2.4378327512541985e-05
12,15,12,0,2.4349758067609974e-05
22,15,22,0,2.2969384780846535e-05
75,15,75,0,2.2699615334820235e-05
23,15,23,0,1.896808845739395e-05
51,15,51,0,1.4032053183121729e-05
40,15,40,0,1.1967650342292747e-05
67,15,67,0,1.177174199890052e-05
55,15,55,0,5.299440167572112e-06
97,15,97,0,3.075219928994066e-06
13,15,13,0,1.1070656752543151e-06
6,15,6,0,1.0267012024889332e-06
84,15,84,0,-2.279952883643688e-06
87,15,87,0,-2.9182473601729876e-06
50,15,50,0,-5.556412215934614e-06
110,15,110,0,-7.809632735922279e-06
41,15,41,0,-7.991288191888656e-06
27,15,27,0,-1.0247692957798816e-05
127,15,127,0,-1.0327796438214242e-05
78,15,78,0,-1.2158460184708009e-05
119,15,119,0,-1.2842414548142057e-05
42,15,42,0,-1.3811769445892796e-05
69,15,69,0,-1.4147847075363095e-05
73,15,73,0,-1.5097239210482006e-05
93,15,93,0,-1.521926419455477e-05
25,15,25,0,-1.6019988151894095e-05
117,15,117,0,-1.6190985116792955e-05
116,15,116,0,-1.7674854308746823e-05
125,15,125,0,-1.9439802860876652e-05
111,15,111,0,-2.100961229301035e-05
15,15,15,0,-2.2213749294686114e-05
94,15,94,0,-2.3102232264904375e-05
34,15,34,0,-2.5323009015432164e-05
108,15,108,0,-2.5886651384210425e-05
101,15,101,0,-2.6547931022113945e-05
61,15,61,0,-2.8534193353446645e-05
77,15,77,0,-2.9047912327606618e-05
45,15,45,0,-3.0240999694863825e-05
105,15,105,0,-3.093319831397601e-05
39,15,39,0,-3.31809952193618e-05
96,15,96,0,-3.400456862815426e-05
66,15,66,0,-3.472974439523435e-05
123,15,123,0,-3.518838249569889e-05
48,15,48,0,-3.816735387353054e-05
18,15,18,0,-3.898227304275359e-05
109,15,109,0,-3.951645024361516e-05
11,15,11,0,-4.137402511039667e-05
7,15,7,0,-4.598311810020128e-05
44,15,44,0,-4.714132812159155e-05
16,15,16,0,-4.818300680589083e-05
58,15,58,0,-5.337741544841901e-05
72,15,72,0,-5.58242979603718e-05
81,15,81,0,-5.6202709909314305e-05
32,15,32,0,-5.850415336645653e-05
82,15,82,0,-5.929041257346501e-05
65,15,65,0,-6.253522055175154e-05
29,15,29,0,-6.3506378526057e-05
95,15,95,0,-6.543466504258522e-05
70,15,70,0,-6.729985006957984e-05
102,15,102,0,-6.771335968979164e-05
46,15,46,0,-7.069792811058573e-05
49,15,49,0,-7.279990488072708e-05
88,15,88,0,-7.306012533929707e-05
28,15,28,0,-7.847476235457451e-05
8,15,8,0,-7.997514295126074e-05
47,15,47,0,-8.717638851007958e-05
104,15,104,0,-9.575226990145014e-05
83,15,83,0,-0.00010399174486637186
80,15,80,0,-0.000106306998091521
24,15,24,0,-0.00010974815178368402
126,15,126,0,-0.00011031384657309574
38,15,38,0,-0.00011375905138369947
1,15,1,0,-0.00012012084645134369
59,15,59,0,-0.00012047875878935521
71,15,71,0,-0.00013932796574473995
60,15,60,0,-0.00014050494303081696
121,15,121,0,-0.00014682264682355228
113,15,113,0,-0.00014980765598042732
53,15,53,0,-0.00016046169886495542
107,15,107,0,-0.00016111177227796648
124,15,124,0,-0.00016290168633028567
14,15,14,0,-0.00016493046042613811
3,15,3,0,-0.00016729045682982723
92,15,92,0,-0.0001771496682974716
33,15,33,0,-0.00017732722543086776
103,15,103,0,-0.00017980565682609306
120,15,120,0,-0.00018204893578658288
0,15,0,0,-0.00018721154055860721
64,15,64,0,-0.00019824941983379585
37,15,37,0,-0.00020427735307804173
2,15,2,0,-0.0002260446955957396
89,15,89,0,-0.00024181864384390517
99,15,99,0,-0.000255121544884751
43,15,43,0,-0.0002555044539245932
26,15,26,0,-0.00025805847822484295
4,15,4,0,-0.00026896880438909143
21,15,21,0,-0.0002835917032353752
54,15,54,0,-0.0002853124774266247
79,15,79,0,-0.0003128594354706249
52,15,52,0,-0.00031516638817957743
19,15,19,0,-0.00031651128142663466
106,15,106,0,-0.00036562257641710173
10,15,10,0,-0.0003766445481229397
63,15,63,0,-0.0003805391548964976
9,15,9,0,-0.0004041257506651852
76,15,76,0,-0.000439021033409448
57,15,57,0,-0.00047104814691403265
