,layer,filter,class_list,value
76,15,76,whole,0.004169887889926118
62,15,62,whole,0.0031984374447409647
124,15,124,whole,0.003127553570246382
27,15,27,whole,0.002538193991270995
98,15,98,whole,0.0023331339576152287
35,15,35,whole,0.002310177680344289
11,15,11,whole,0.0022972238396706366
60,15,60,whole,0.002204779119439183
63,15,63,whole,0.0021589887357470637
17,15,17,whole,0.0021534885861208865
74,15,74,whole,0.002081271387298388
55,15,55,whole,0.0020002166835380534
10,15,10,whole,0.001971463973435489
118,15,118,whole,0.0019709192068681305
31,15,31,whole,0.0018892030271178354
102,15,102,whole,0.001886632654132754
9,15,9,whole,0.00177641187412741
78,15,78,whole,0.001757156862599952
90,15,90,whole,0.0017085866737196365
106,15,106,whole,0.0016696173336113857
4,15,4,whole,0.0016055367400542974
66,15,66,whole,0.001563339067324633
24,15,24,whole,0.0013297598146017491
21,15,21,whole,0.0012417917852991021
100,15,100,whole,0.0012270390664536456
42,15,42,whole,0.0011800065152459804
85,15,85,whole,0.001166921980407186
26,15,26,whole,0.0011564599379256372
38,15,38,whole,0.0011405871228174036
113,15,113,whole,0.001113057718634953
72,15,72,whole,0.0011070867798070603
109,15,109,whole,0.0010727184696478595
115,15,115,whole,0.001061807337236809
69,15,69,whole,0.001049840695412836
91,15,91,whole,0.0010275301365019385
47,15,47,whole,0.0010008430019004034
107,15,107,whole,0.0009025786603536888
103,15,103,whole,0.0008614625989589637
45,15,45,whole,0.0008159739547606096
68,15,68,whole,0.0008090160371872449
114,15,114,whole,0.0007985887878023276
54,15,54,whole,0.000754369481174532
80,15,80,whole,0.0007132901519948494
57,15,57,whole,0.0006993888610900223
23,15,23,whole,0.000699250818513896
93,15,93,whole,0.0006743967519459593
7,15,7,whole,0.0006677609445575404
67,15,67,whole,0.0006412155768023536
53,15,53,whole,0.0006069829994108245
86,15,86,whole,0.0005933936577843136
48,15,48,whole,0.0005897209046411983
127,15,127,whole,0.0005774360821564785
89,15,89,whole,0.0005516812599859533
122,15,122,whole,0.0004966602975619631
108,15,108,whole,0.00044812155194329657
95,15,95,whole,0.0004456491057627486
37,15,37,whole,0.00039533645247388815
20,15,20,whole,0.00037948141903151975
116,15,116,whole,0.00036032775189896043
56,15,56,whole,0.00033644277164203895
13,15,13,whole,0.00028967903469847347
96,15,96,whole,0.0002796962032622841
65,15,65,whole,0.0002705453595953745
12,15,12,whole,0.0002398709461276724
61,15,61,whole,0.00020508327490473987
19,15,19,whole,0.00019576739798808743
79,15,79,whole,0.0001833769038348299
40,15,40,whole,0.00017083998699644022
117,15,117,whole,0.00015575093569257859
101,15,101,whole,0.00014246396672742604
73,15,73,whole,0.00013138159592853625
6,15,6,whole,9.611786282013226e-05
28,15,28,whole,9.597690038696348e-05
0,15,0,whole,9.250485808399677e-05
22,15,22,whole,6.073734118760693e-05
75,15,75,whole,5.450968390689362e-05
105,15,105,whole,4.9544800366052316e-05
64,15,64,whole,4.3054732505525e-05
112,15,112,whole,-1.5185048432544805e-05
5,15,5,whole,-1.8146702109875754e-05
51,15,51,whole,-3.0296060303394754e-05
18,15,18,whole,-3.524807981174615e-05
121,15,121,whole,-4.4523423492048504e-05
30,15,30,whole,-9.322906132219473e-05
126,15,126,whole,-0.00010415760525048361
71,15,71,whole,-0.00011236470709077121
44,15,44,whole,-0.00011531386684516115
41,15,41,whole,-0.0001227838087522276
97,15,97,whole,-0.0001232282141365313
36,15,36,whole,-0.00014336871286746772
59,15,59,whole,-0.00014625494882500347
110,15,110,whole,-0.00016862576870151514
94,15,94,whole,-0.00017476939897963359
49,15,49,whole,-0.00018202467738171564
25,15,25,whole,-0.0001994744826744322
111,15,111,whole,-0.00027305605025741524
15,15,15,whole,-0.0002838084261193426
1,15,1,whole,-0.00029281745440511674
92,15,92,whole,-0.00029681736027469577
77,15,77,whole,-0.00030132788928435774
46,15,46,whole,-0.00030875953713057
99,15,99,whole,-0.00031906941722504927
125,15,125,whole,-0.0003315839114457613
58,15,58,whole,-0.0003462165040426336
14,15,14,whole,-0.00034851642123864926
50,15,50,whole,-0.000356580672792312
123,15,123,whole,-0.0003760274653112312
84,15,84,whole,-0.0003994131092900652
2,15,2,whole,-0.0004466152997548007
34,15,34,whole,-0.00045756331540100677
3,15,3,whole,-0.00047525966498885886
82,15,82,whole,-0.0005058051430618781
119,15,119,whole,-0.0005702751276435343
87,15,87,whole,-0.0005725810669629534
52,15,52,whole,-0.000765734528401707
88,15,88,whole,-0.0009183065865726465
83,15,83,whole,-0.0009960798401527087
29,15,29,whole,-0.0009986091388338573
32,15,32,whole,-0.001004902560827531
16,15,16,whole,-0.0010681546555015723
8,15,8,whole,-0.0010777034244807398
120,15,120,whole,-0.0011095955191879388
43,15,43,whole,-0.0012142052635518805
39,15,39,whole,-0.001301083795224384
70,15,70,whole,-0.0013753581886684053
104,15,104,whole,-0.0015980096661858683
81,15,81,whole,-0.0026184357815874975
33,15,33,whole,-0.0030464887019240492
