,layer,filter,class_list,value
250,16,250,0,0.0002797747650195359
167,16,167,0,0.000165510972135674
124,16,124,0,0.00015388296216019005
14,16,14,0,0.0001532480503241951
101,16,101,0,0.00014824110961845217
226,16,226,0,0.0001376435340553206
105,16,105,0,0.00013564362426088383
59,16,59,0,0.00012761900090486612
82,16,82,0,0.00011221478088481174
191,16,191,0,0.0001030308393591306
66,16,66,0,9.373070804222783e-05
252,16,252,0,8.888782539956397e-05
150,16,150,0,8.637596437160999e-05
106,16,106,0,8.452364264232015e-05
9,16,9,0,8.186110139785097e-05
61,16,61,0,7.959994517044988e-05
40,16,40,0,7.639890770910762e-05
93,16,93,0,7.578663831254717e-05
190,16,190,0,7.457363550866791e-05
64,16,64,0,7.45591859459771e-05
95,16,95,0,7.392779385685388e-05
20,16,20,0,7.385135473526594e-05
57,16,57,0,7.268066296748366e-05
246,16,246,0,7.254914974204052e-05
143,16,143,0,6.601784953536027e-05
168,16,168,0,6.529518820133084e-05
186,16,186,0,6.407349648950289e-05
222,16,222,0,6.22098507443214e-05
169,16,169,0,6.13979365216344e-05
51,16,51,0,6.0963700034422084e-05
137,16,137,0,5.838759351030065e-05
55,16,55,0,5.784877131648214e-05
249,16,249,0,5.4724962117991274e-05
213,16,213,0,5.4080126514111095e-05
200,16,200,0,5.172913029434234e-05
56,16,56,0,4.98416028466453e-05
117,16,117,0,4.537067243461923e-05
28,16,28,0,4.4487692809191956e-05
229,16,229,0,4.4107494423129e-05
10,16,10,0,4.4034132619585885e-05
68,16,68,0,4.4015973670519236e-05
15,16,15,0,4.0692832678213e-05
78,16,78,0,4.0171377228392924e-05
116,16,116,0,3.824514759115383e-05
103,16,103,0,3.7037252806959575e-05
92,16,92,0,3.684079174968158e-05
67,16,67,0,3.679056373814271e-05
54,16,54,0,3.5972205214984675e-05
77,16,77,0,3.541330724611269e-05
107,16,107,0,3.4017306259903624e-05
122,16,122,0,3.3437695510096786e-05
36,16,36,0,3.141113960934972e-05
233,16,233,0,2.9469071461973863e-05
119,16,119,0,2.883164142060135e-05
199,16,199,0,2.790102488230417e-05
166,16,166,0,2.6738798721814837e-05
127,16,127,0,2.6537292050399232e-05
196,16,196,0,2.6008294804547028e-05
83,16,83,0,2.5826596399725067e-05
112,16,112,0,2.414518660588394e-05
85,16,85,0,2.3110803970471937e-05
170,16,170,0,2.2227682055087074e-05
223,16,223,0,2.1618008387103148e-05
90,16,90,0,2.1437295485193796e-05
1,16,1,0,2.017302352309569e-05
60,16,60,0,1.9628698091744834e-05
139,16,139,0,1.956629285378986e-05
74,16,74,0,1.7715311007171496e-05
24,16,24,0,1.725958008691464e-05
70,16,70,0,1.714455096377687e-05
94,16,94,0,1.6996719332806887e-05
130,16,130,0,1.6354755552927534e-05
195,16,195,0,1.608259548822044e-05
220,16,220,0,1.5759965555517396e-05
253,16,253,0,1.5031677522270304e-05
23,16,23,0,1.2779981582433652e-05
11,16,11,0,1.1981686152684468e-05
216,16,216,0,1.1747140594575712e-05
192,16,192,0,1.0959658067632994e-05
125,16,125,0,1.0691232279047558e-05
162,16,162,0,9.73587807393539e-06
108,16,108,0,8.914067956811156e-06
208,16,208,0,8.03278487526704e-06
97,16,97,0,7.681082823496332e-06
50,16,50,0,7.148206087104203e-06
114,16,114,0,7.117773969678165e-06
111,16,111,0,6.932917741142574e-06
227,16,227,0,6.696970056363493e-06
228,16,228,0,6.42722886288194e-06
215,16,215,0,6.31771195277464e-06
214,16,214,0,6.299860058789353e-06
99,16,99,0,6.284115211785402e-06
38,16,38,0,6.26124261923211e-06
201,16,201,0,6.239913724548352e-06
235,16,235,0,5.556729831313057e-06
146,16,146,0,5.393371984840911e-06
159,16,159,0,4.162324038992082e-06
98,16,98,0,3.6712111023073924e-06
245,16,245,0,3.5866300714615385e-06
174,16,174,0,3.57882874858495e-06
131,16,131,0,3.5141225996238036e-06
231,16,231,0,2.819106179041686e-06
221,16,221,0,2.6356374848823803e-06
173,16,173,0,2.5923188931464837e-06
156,16,156,0,1.9397247972285925e-06
149,16,149,0,1.7596854479329239e-06
148,16,148,0,9.022624775090193e-07
44,16,44,0,8.89628238864848e-07
175,16,175,0,8.89628238864848e-07
45,16,45,0,8.896098948274478e-07
232,16,232,0,8.86540619216003e-07
31,16,31,0,8.740353983349713e-07
13,16,13,0,8.30502442961123e-07
204,16,204,0,4.926492050083553e-07
25,16,25,0,1.0853523462195369e-07
113,16,113,0,2.215860874787978e-08
19,16,19,0,0.0
52,16,52,0,0.0
152,16,152,0,0.0
198,16,198,0,0.0
224,16,224,0,0.0
218,16,218,0,-2.3944443872103704e-09
76,16,76,0,-6.521511608514885e-09
217,16,217,0,-6.521511608514885e-09
151,16,151,0,-1.672175954370303e-08
236,16,236,0,-1.9196856415604203e-08
65,16,65,0,-7.293746095538012e-07
26,16,26,0,-9.09340118926405e-07
79,16,79,0,-1.2417439167577982e-06
243,16,243,0,-1.5760841179934815e-06
230,16,230,0,-1.8263333412038562e-06
176,16,176,0,-2.6666145195197723e-06
133,16,133,0,-3.423917754463712e-06
126,16,126,0,-4.512931771250006e-06
73,16,73,0,-4.581817131132926e-06
96,16,96,0,-4.826135757318717e-06
247,16,247,0,-5.3594455278527246e-06
2,16,2,0,-5.879826126276022e-06
172,16,172,0,-6.469447219326074e-06
16,16,16,0,-6.708344507766473e-06
147,16,147,0,-7.201956730795711e-06
188,16,188,0,-8.865837739302496e-06
39,16,39,0,-8.965607236322004e-06
129,16,129,0,-1.0620449245291041e-05
86,16,86,0,-1.1184587922619115e-05
135,16,135,0,-1.1554856969298033e-05
212,16,212,0,-1.1802425424933816e-05
225,16,225,0,-1.3128170901144375e-05
30,16,30,0,-1.7857664893783377e-05
29,16,29,0,-1.8787215157300974e-05
155,16,155,0,-1.981418410299529e-05
164,16,164,0,-2.1001394277930797e-05
211,16,211,0,-2.245651963593831e-05
219,16,219,0,-2.2565920572326093e-05
75,16,75,0,-2.3092635351584788e-05
163,16,163,0,-2.3288387333542103e-05
128,16,128,0,-2.4375609379245767e-05
142,16,142,0,-2.492882245888062e-05
158,16,158,0,-2.5511312440107403e-05
118,16,118,0,-2.667134885003808e-05
202,16,202,0,-2.749203049933202e-05
72,16,72,0,-2.765380653005911e-05
4,16,4,0,-2.883025106291681e-05
171,16,171,0,-2.9773816684197653e-05
205,16,205,0,-3.082292912121032e-05
187,16,187,0,-3.114095216455448e-05
206,16,206,0,-3.1522471879963375e-05
132,16,132,0,-3.53976080987084e-05
5,16,5,0,-3.612523554005209e-05
41,16,41,0,-3.8455869242604027e-05
115,16,115,0,-3.919463012812541e-05
241,16,241,0,-4.0282706006677936e-05
21,16,21,0,-4.0291747737819515e-05
161,16,161,0,-4.1642866652968904e-05
239,16,239,0,-4.251070505667531e-05
244,16,244,0,-4.539649738473095e-05
197,16,197,0,-4.7595685124468545e-05
136,16,136,0,-4.8572247167866234e-05
100,16,100,0,-4.868976565509664e-05
234,16,234,0,-4.912202646183417e-05
84,16,84,0,-4.981893061167808e-05
89,16,89,0,-5.016124557637447e-05
183,16,183,0,-5.1331928551712205e-05
87,16,87,0,-5.260678313099287e-05
153,16,153,0,-5.867959536164369e-05
35,16,35,0,-6.112010479494278e-05
165,16,165,0,-6.14818191647215e-05
180,16,180,0,-6.37475620628325e-05
209,16,209,0,-6.737099550072623e-05
71,16,71,0,-6.813291915204189e-05
121,16,121,0,-7.136903530625682e-05
181,16,181,0,-7.212372161443658e-05
141,16,141,0,-7.229130275849815e-05
17,16,17,0,-7.46524716818353e-05
134,16,134,0,-7.710810270163959e-05
49,16,49,0,-7.803786663833634e-05
154,16,154,0,-8.045995197202283e-05
140,16,140,0,-8.078159510795934e-05
240,16,240,0,-8.094053735006047e-05
69,16,69,0,-8.115699113120378e-05
177,16,177,0,-8.268413218531778e-05
32,16,32,0,-8.273055398212436e-05
91,16,91,0,-8.310424541948524e-05
193,16,193,0,-8.556371825689802e-05
237,16,237,0,-8.588709963041064e-05
22,16,22,0,-8.923126693307636e-05
248,16,248,0,-9.106527206241833e-05
251,16,251,0,-9.114173069327825e-05
178,16,178,0,-9.257078313285039e-05
242,16,242,0,-9.788109502906206e-05
63,16,63,0,-9.802647627733529e-05
48,16,48,0,-0.00010136011600847539
43,16,43,0,-0.0001035644225797383
58,16,58,0,-0.00010566587369115199
184,16,184,0,-0.00010727638344401046
179,16,179,0,-0.0001092105025308987
160,16,160,0,-0.00011331095039023298
62,16,62,0,-0.00011466109113351663
7,16,7,0,-0.00011647603047620914
185,16,185,0,-0.00011884956066057217
203,16,203,0,-0.00012087643996439024
104,16,104,0,-0.00012146282163714162
42,16,42,0,-0.00012764472661007663
145,16,145,0,-0.00013047548774405282
189,16,189,0,-0.00013870926139197826
120,16,120,0,-0.00014035885876921838
207,16,207,0,-0.0001452747327855497
6,16,6,0,-0.00014789977156277613
123,16,123,0,-0.0001486404684828857
210,16,210,0,-0.00015008540881834566
238,16,238,0,-0.0001507420803920745
12,16,12,0,-0.00015122534538226652
81,16,81,0,-0.0001676683126013656
27,16,27,0,-0.000172126838960307
37,16,37,0,-0.0001774772066671093
157,16,157,0,-0.00017863151537915732
88,16,88,0,-0.0001905319249572601
138,16,138,0,-0.00019789586042677775
33,16,33,0,-0.00019871037576504324
255,16,255,0,-0.00020903615869997117
8,16,8,0,-0.00022814599963166815
254,16,254,0,-0.00023280896014673535
53,16,53,0,-0.00024116791520203406
109,16,109,0,-0.0002515942778432478
34,16,34,0,-0.00025734190498424294
102,16,102,0,-0.00025960977071265434
194,16,194,0,-0.0002641122844955324
182,16,182,0,-0.0003170302900873057
46,16,46,0,-0.0003751248688462994
0,16,0,0,-0.0003955455913722039
144,16,144,0,-0.00041370376450403643
18,16,18,0,-0.000425342790430161
