,layer,filter,class_list,value
46,12,46,whole,0.015071848200361157
89,12,89,whole,0.009983625892097055
112,12,112,whole,0.00941651017688573
27,12,27,whole,0.008822810988259114
35,12,35,whole,0.00859352014213402
121,12,121,whole,0.008491780934735719
18,12,18,whole,0.00823377853794007
17,12,17,whole,0.007546646243392544
23,12,23,whole,0.006888588495473601
67,12,67,whole,0.006218480810078011
72,12,72,whole,0.00590346860710311
1,12,1,whole,0.004872554010726933
81,12,81,whole,0.0046770366167093545
58,12,58,whole,0.004580430699000297
91,12,91,whole,0.004504607063001517
10,12,10,whole,0.004033985751722731
115,12,115,whole,0.004018961777726369
37,12,37,whole,0.003310479961770846
111,12,111,whole,0.003303139086424132
30,12,30,whole,0.0029931726758841634
33,12,33,whole,0.0029392414146972214
75,12,75,whole,0.0028336717740569937
125,12,125,whole,0.002456756733816575
95,12,95,whole,0.0024042576084435663
29,12,29,whole,0.0022041394682688576
55,12,55,whole,0.0021127288024964685
117,12,117,whole,0.0021126363721792355
24,12,24,whole,0.0020396309946183995
127,12,127,whole,0.0020100668410216443
76,12,76,whole,0.0017986983647386386
11,12,11,whole,0.0017951593513779538
6,12,6,whole,0.0017692485808644977
82,12,82,whole,0.0016684250549490575
77,12,77,whole,0.0015713089455857078
88,12,88,whole,0.0015357003395805942
66,12,66,whole,0.0013456268073377315
86,12,86,whole,0.0013411350818668516
92,12,92,whole,0.0012876317250520221
22,12,22,whole,0.0012072305493204788
94,12,94,whole,0.001197242249596269
45,12,45,whole,0.0011910510327821212
57,12,57,whole,0.0011855570999292505
83,12,83,whole,0.0011853042136954705
78,12,78,whole,0.0011751422778707922
99,12,99,whole,0.001109238820192971
19,12,19,whole,0.0010581300752429059
110,12,110,whole,0.0010417177908706846
43,12,43,whole,0.001012646367902728
113,12,113,whole,0.0010037364395509487
8,12,8,whole,0.0009979082045833937
69,12,69,whole,0.0009660164661361343
107,12,107,whole,0.0009206586470892769
71,12,71,whole,0.0008498530246642492
98,12,98,whole,0.0008465999843603963
28,12,28,whole,0.0008129529309904432
9,12,9,whole,0.0007452866402569346
80,12,80,whole,0.0007204231920668662
53,12,53,whole,0.000706340783690244
16,12,16,whole,0.0006383957863013029
40,12,40,whole,0.0006069747546897147
102,12,102,whole,0.0005682221954855434
104,12,104,whole,0.0005320142067581846
48,12,48,whole,0.0004750066087441992
63,12,63,whole,0.0003999262196731935
73,12,73,whole,0.00037908211946763846
120,12,120,whole,0.00035035444631912363
64,12,64,whole,0.00034899346910815984
68,12,68,whole,0.00034048698561982667
93,12,93,whole,0.00031269474901644834
79,12,79,whole,0.00030504032302284406
32,12,32,whole,0.00023153165598347944
61,12,61,whole,0.0001157951739444906
119,12,119,whole,0.00011333069407678746
38,12,38,whole,0.00010033508451480524
39,12,39,whole,8.449207598085076e-06
42,12,42,whole,0.0
126,12,126,whole,-2.362750794530455e-06
106,12,106,whole,-5.900333491580187e-06
5,12,5,whole,-6.020718823325846e-06
0,12,0,whole,-1.721556950600167e-05
62,12,62,whole,-3.093175432265392e-05
51,12,51,whole,-3.3373861680296425e-05
116,12,116,whole,-4.8983022314041946e-05
4,12,4,whole,-6.0161860400477734e-05
31,12,31,whole,-6.758387140712247e-05
21,12,21,whole,-7.877996718220082e-05
122,12,122,whole,-0.00010450895879209691
56,12,56,whole,-0.00013971823170292079
50,12,50,whole,-0.0001529813586779955
44,12,44,whole,-0.0001615443915981321
49,12,49,whole,-0.00016182729340168323
108,12,108,whole,-0.0001621308360421144
2,12,2,whole,-0.00017727963868575982
36,12,36,whole,-0.000225986205543504
100,12,100,whole,-0.00028008051207048626
13,12,13,whole,-0.0003956886678026044
60,12,60,whole,-0.0004207800649520765
96,12,96,whole,-0.0004359623485005174
87,12,87,whole,-0.0006000901087458326
34,12,34,whole,-0.0006104747180319745
3,12,3,whole,-0.0006648159795867497
26,12,26,whole,-0.0006980334225759423
105,12,105,whole,-0.0007012449939790725
70,12,70,whole,-0.0007539352489267494
59,12,59,whole,-0.0008026896463005556
123,12,123,whole,-0.0008281320110705533
54,12,54,whole,-0.0008659125827753311
15,12,15,whole,-0.0008921985284746824
14,12,14,whole,-0.0010155618970422485
7,12,7,whole,-0.001161990787443328
114,12,114,whole,-0.0012200590878766887
118,12,118,whole,-0.0012499445845633585
97,12,97,whole,-0.0013887293138853734
74,12,74,whole,-0.001395491685044425
41,12,41,whole,-0.0014772519716857886
25,12,25,whole,-0.0015056044007776743
103,12,103,whole,-0.001576787735715649
109,12,109,whole,-0.0016101644740641689
101,12,101,whole,-0.0017215422818564973
124,12,124,whole,-0.001749806993179149
12,12,12,whole,-0.0018436409860306264
85,12,85,whole,-0.0019751129352314654
65,12,65,whole,-0.002054286863621122
47,12,47,whole,-0.002371334719944111
84,12,84,whole,-0.0025162526357170025
52,12,52,whole,-0.002556113565689618
90,12,90,whole,-0.0031866144639953924
20,12,20,whole,-0.01070722966042019
