,layer,filter,class_list,value
5,8,5,whole,0.005630798532787414
63,8,63,whole,0.0038339959262770314
9,8,9,whole,0.0027620946087108843
18,8,18,whole,0.002650528205447678
38,8,38,whole,0.0025812743177425113
57,8,57,whole,0.002533572528651369
56,8,56,whole,0.002374421042704168
26,8,26,whole,0.0022657769422789464
60,8,60,whole,0.002168348152140287
17,8,17,whole,0.0019266885958921197
14,8,14,whole,0.0016397789713194877
48,8,48,whole,0.0015697080028736227
12,8,12,whole,0.0015030919288667906
11,8,11,whole,0.0014549422650861562
54,8,54,whole,0.001381302439403391
3,8,3,whole,0.0013484532034924864
41,8,41,whole,0.0011807273196452971
10,8,10,whole,0.0011237149379253032
37,8,37,whole,0.000884507686518941
52,8,52,whole,0.0008199850386424179
21,8,21,whole,0.0007920814966323623
55,8,55,whole,0.0006602634052833882
28,8,28,whole,0.0006122372132739227
31,8,31,whole,0.0006106390150899018
8,8,8,whole,0.0005964024605131516
49,8,49,whole,0.0005188321547603288
19,8,19,whole,0.000493660628375803
4,8,4,whole,0.00042466430107761694
53,8,53,whole,0.0004203158330760619
62,8,62,whole,0.00036078223352482304
42,8,42,whole,0.00033020974115761383
45,8,45,whole,0.00028562050944689064
7,8,7,whole,0.00024717648001804137
39,8,39,whole,0.00022474088198255784
46,8,46,whole,0.000181838736033502
25,8,25,whole,0.00011955894496212928
58,8,58,whole,0.00011918621464660233
50,8,50,whole,5.79811184954402e-05
35,8,35,whole,-9.741212565750204e-06
30,8,30,whole,-2.7658432899961214e-05
15,8,15,whole,-7.417687631629237e-05
16,8,16,whole,-8.947775670581464e-05
40,8,40,whole,-9.972039332599538e-05
13,8,13,whole,-0.00012139678832517075
47,8,47,whole,-0.00017077035047520565
22,8,22,whole,-0.00019104242482451405
32,8,32,whole,-0.00021317801676363525
2,8,2,whole,-0.0003017069393889932
0,8,0,whole,-0.0004500558774014261
33,8,33,whole,-0.000616290702667773
36,8,36,whole,-0.0008388912274087265
29,8,29,whole,-0.0010467873118900572
59,8,59,whole,-0.0011259781778045475
6,8,6,whole,-0.0012091591592993944
27,8,27,whole,-0.0012962391548605803
24,8,24,whole,-0.0013288980750251784
44,8,44,whole,-0.0013998336371215743
51,8,51,whole,-0.0016362963334107723
43,8,43,whole,-0.0016634533544288663
61,8,61,whole,-0.002000959223682132
23,8,23,whole,-0.0022388354463212475
1,8,1,whole,-0.013262443669652638
34,8,34,whole,-0.01463261991742897
20,8,20,whole,-0.017172985524668227
