,layer,filter,class_list,value
179,31,179,whole,0.019849004007824696
87,31,87,whole,0.016971488762883583
30,31,30,whole,0.013244486326441188
98,31,98,whole,0.011378616119814038
102,31,102,whole,0.010710611627838446
146,31,146,whole,0.009900122609306174
243,31,243,whole,0.009618535118615887
46,31,46,whole,0.008882200156968497
64,31,64,whole,0.008524537156275989
187,31,187,whole,0.008450408049515745
82,31,82,whole,0.008038253640851433
235,31,235,whole,0.007969351580887239
80,31,80,whole,0.006911535391571832
197,31,197,whole,0.00680817998745537
40,31,40,whole,0.006727992841395305
134,31,134,whole,0.006501580717984945
145,31,145,whole,0.006203457452081351
0,31,0,whole,0.005766661317966948
231,31,231,whole,0.005687072480033759
117,31,117,whole,0.00564758745857079
62,31,62,whole,0.005432639554942043
152,31,152,whole,0.004961885897204773
77,31,77,whole,0.004825919351464954
107,31,107,whole,0.004816635787062168
101,31,101,whole,0.004755542509077421
116,31,116,whole,0.004689754457635755
43,31,43,whole,0.004583590253632226
233,31,233,whole,0.004418353856465146
199,31,199,whole,0.0042534096879272955
244,31,244,whole,0.004117027126569251
183,31,183,whole,0.004034435155736986
6,31,6,whole,0.003972862100421212
57,31,57,whole,0.003713874961119848
2,31,2,whole,0.0035904970338502457
13,31,13,whole,0.003577475139996164
78,31,78,whole,0.003523904613176986
69,31,69,whole,0.0034359846452063614
109,31,109,whole,0.0034200041034516517
53,31,53,whole,0.003391183658375703
10,31,10,whole,0.0033603446760737364
170,31,170,whole,0.0033601471650716135
228,31,228,whole,0.0033580552528344174
222,31,222,whole,0.003355431605790142
185,31,185,whole,0.0033446415834148197
140,31,140,whole,0.0032624255854264055
25,31,25,whole,0.0031802802124489896
211,31,211,whole,0.0031147314409239154
111,31,111,whole,0.0030574961907751243
136,31,136,whole,0.0030432242235168085
106,31,106,whole,0.003011120551639959
38,31,38,whole,0.002958957341827112
195,31,195,whole,0.0028987959864671307
9,31,9,whole,0.0028774128647276786
218,31,218,whole,0.0028540566574168876
76,31,76,whole,0.002820487025036172
236,31,236,whole,0.002726859266136074
172,31,172,whole,0.002711571398634666
70,31,70,whole,0.002685157264373579
223,31,223,whole,0.0026756194166987616
177,31,177,whole,0.0026138004956270536
114,31,114,whole,0.002547405116506822
79,31,79,whole,0.002472825169231152
125,31,125,whole,0.002447192721428938
91,31,91,whole,0.002359297307885023
26,31,26,whole,0.0023490046421265963
204,31,204,whole,0.0023213667038861656
241,31,241,whole,0.002256534720665987
135,31,135,whole,0.0021976196451804716
215,31,215,whole,0.002183969927206041
36,31,36,whole,0.0021316615793982446
7,31,7,whole,0.00208381561406202
212,31,212,whole,0.002070700843773621
88,31,88,whole,0.0020256480581039072
254,31,254,whole,0.0020237449789975515
220,31,220,whole,0.0018709770501905373
39,31,39,whole,0.001850178328922384
160,31,160,whole,0.0018264957230297494
154,31,154,whole,0.001808626448265478
94,31,94,whole,0.0017989972940226772
200,31,200,whole,0.001783111478379332
227,31,227,whole,0.0017650215598651684
246,31,246,whole,0.0016855817695674916
156,31,156,whole,0.001615108303436375
33,31,33,whole,0.001606673758529625
173,31,173,whole,0.0015990536188076824
123,31,123,whole,0.0015724853497955874
66,31,66,whole,0.0015483467391569417
16,31,16,whole,0.001475733500925774
238,31,238,whole,0.0013999012966984079
8,31,8,whole,0.0012827152095172278
63,31,63,whole,0.0012606550614942835
217,31,217,whole,0.0012445900962395051
103,31,103,whole,0.0012288874481811794
133,31,133,whole,0.0012232332802784782
253,31,253,whole,0.001178875860615292
143,31,143,whole,0.0011730083285285873
209,31,209,whole,0.0011680502201239682
150,31,150,whole,0.0011586809929259
75,31,75,whole,0.0011489941742769138
97,31,97,whole,0.0010983721492475163
