,layer,filter,class_list,value
45,42,45,whole,0.016638292432240576
84,42,84,whole,0.012453079783285623
103,42,103,whole,0.012221870562151247
87,42,87,whole,0.008991071128012148
109,42,109,whole,0.008315494608234289
10,42,10,whole,0.008156022749221217
111,42,111,whole,0.006940169509624797
66,42,66,whole,0.006725329354602151
115,42,115,whole,0.004858183678749234
98,42,98,whole,0.0047347025847446576
124,42,124,whole,0.0042753717693422115
50,42,50,whole,0.0041445651171455435
46,42,46,whole,0.0038269311805159967
102,42,102,whole,0.0037583962747551455
108,42,108,whole,0.0029873023677585305
55,42,55,whole,0.0029819155327764626
58,42,58,whole,0.0025710755238307153
7,42,7,whole,0.0025539651114943416
11,42,11,whole,0.0024638541239727497
65,42,65,whole,0.0018805673435921128
40,42,40,whole,0.0016372278460855857
8,42,8,whole,0.001620467248067172
52,42,52,whole,0.0016124974337140643
72,42,72,whole,0.0016037847189254058
91,42,91,whole,0.0015543682820125706
100,42,100,whole,0.0015457848879014146
94,42,94,whole,0.0013853241045324934
2,42,2,whole,0.0013841711384896863
107,42,107,whole,0.0012500006800839306
18,42,18,whole,0.0012491898378173265
85,42,85,whole,0.0011998138214905306
67,42,67,whole,0.0011615319533610374
22,42,22,whole,0.0011530338167304907
4,42,4,whole,0.0010613388221005018
38,42,38,whole,0.0010050529627109422
62,42,62,whole,0.0009745997717264998
47,42,47,whole,0.0009403877239801365
69,42,69,whole,0.0008887531531624572
30,42,30,whole,0.0008298261952353192
78,42,78,whole,0.000822522473205577
95,42,95,whole,0.0008214817220453701
5,42,5,whole,0.0008095839515689879
123,42,123,whole,0.0007608072618703182
54,42,54,whole,0.0007215461556424989
126,42,126,whole,0.0007069553022198626
27,42,27,whole,0.000601111775522817
105,42,105,whole,0.0005712867583423252
61,42,61,whole,0.0005698351550758293
6,42,6,whole,0.0004915547010382733
97,42,97,whole,0.0004909093951958748
21,42,21,whole,0.0004902566818686977
118,42,118,whole,0.00041955069101852385
99,42,99,whole,0.00040621772062361525
114,42,114,whole,0.00040568895458259377
31,42,31,whole,0.0003993977887230115
43,42,43,whole,0.0003976050372319339
81,42,81,whole,0.0003926164639652458
125,42,125,whole,0.0003734620448101641
23,42,23,whole,0.00034982911075110535
1,42,1,whole,0.00031034637539645326
80,42,80,whole,0.0003026246804070817
88,42,88,whole,0.0002581886261410706
122,42,122,whole,0.0002451688699277593
28,42,28,whole,0.0002386553199541305
48,42,48,whole,0.00017365956640361338
26,42,26,whole,0.00016496977430133464
73,42,73,whole,0.00015200352513907513
39,42,39,whole,0.00010680442803416518
82,42,82,whole,4.8474245334959464e-05
16,42,16,whole,2.2746269554331162e-05
120,42,120,whole,1.72099828908423e-05
57,42,57,whole,1.4625808003786157e-06
86,42,86,whole,-3.202094233109576e-06
32,42,32,whole,-7.898579586981466e-06
20,42,20,whole,-2.12431993696513e-05
12,42,12,whole,-2.2422339831055724e-05
116,42,116,whole,-3.659897610946983e-05
37,42,37,whole,-4.4334459241119416e-05
33,42,33,whole,-4.644160824583592e-05
19,42,19,whole,-5.348582104257486e-05
44,42,44,whole,-6.479815607343683e-05
68,42,68,whole,-7.009393431155943e-05
24,42,24,whole,-0.00010544863621976715
64,42,64,whole,-0.00013400834668491138
25,42,25,whole,-0.00016256374526454074
101,42,101,whole,-0.00016656496189038956
92,42,92,whole,-0.00020062047286202467
90,42,90,whole,-0.00020347770745322082
41,42,41,whole,-0.0002221784428657142
113,42,113,whole,-0.0002472552378675919
35,42,35,whole,-0.00026596842658340727
51,42,51,whole,-0.0002910236437749638
76,42,76,whole,-0.0003139727060668943
79,42,79,whole,-0.0003318792647285707
56,42,56,whole,-0.00034361936738132694
0,42,0,whole,-0.0003986666339231783
14,42,14,whole,-0.00043710552035503133
121,42,121,whole,-0.0005686700486065059
36,42,36,whole,-0.0005838142684834311
70,42,70,whole,-0.0007066076917088861
49,42,49,whole,-0.0007282615796647548
77,42,77,whole,-0.0007451420125131744
93,42,93,whole,-0.0010152548606960632
71,42,71,whole,-0.0010335946174109974
42,42,42,whole,-0.001050187069037285
110,42,110,whole,-0.001060808946492357
15,42,15,whole,-0.0011139881874674105
83,42,83,whole,-0.0011339942112561644
53,42,53,whole,-0.00133315582417595
112,42,112,whole,-0.0016594601656639274
29,42,29,whole,-0.0018148419287143305
63,42,63,whole,-0.0019119627285219237
119,42,119,whole,-0.001983379751119621
74,42,74,whole,-0.0020925423294026226
17,42,17,whole,-0.0023267007213437886
9,42,9,whole,-0.002364125357661066
60,42,60,whole,-0.002409647421090516
34,42,34,whole,-0.002842336529816794
59,42,59,whole,-0.003097074779533168
13,42,13,whole,-0.0032839192004455535
3,42,3,whole,-0.004295750416545396
117,42,117,whole,-0.004736368373677471
75,42,75,whole,-0.005109785098647986
89,42,89,whole,-0.005266013707057972
106,42,106,whole,-0.005412752013060114
104,42,104,whole,-0.006238813302811194
127,42,127,whole,-0.007189980881753102
96,42,96,whole,-0.014795459643837364
