,layer,filter,class_list,value
18,50,18,whole,0.01237835122791828
61,50,61,whole,0.01177903116874473
36,50,36,whole,0.010425283819835662
34,50,34,whole,0.009561697352103328
50,50,50,whole,0.009527507569346293
9,50,9,whole,0.008549219913443505
3,50,3,whole,0.008343563702656695
49,50,49,whole,0.0073397405225023955
60,50,60,whole,0.0053390728523551225
39,50,39,whole,0.005319266173160539
5,50,5,whole,0.00429987053590396
29,50,29,whole,0.0036389982231953472
32,50,32,whole,0.0034420800532568947
59,50,59,whole,0.0028363105064897463
46,50,46,whole,0.0028282331695126625
44,50,44,whole,0.002749590678675614
2,50,2,whole,0.0027005315207039833
53,50,53,whole,0.0024392442088894085
14,50,14,whole,0.0021227393673905635
33,50,33,whole,0.002053087239363546
12,50,12,whole,0.0019059347993730402
22,50,22,whole,0.0018168326862795247
54,50,54,whole,0.0017701924841388703
52,50,52,whole,0.0017674690555429644
0,50,0,whole,0.0015820334607464064
1,50,1,whole,0.0013670646761891382
4,50,4,whole,0.0012047883036687235
58,50,58,whole,0.0010836707485167264
20,50,20,whole,0.0010803214034550723
17,50,17,whole,0.0008728723897696661
47,50,47,whole,0.0008462593634395992
40,50,40,whole,0.000811236280478736
28,50,28,whole,0.0006147479323178684
23,50,23,whole,0.0005549931007900473
37,50,37,whole,0.0003029866733272695
31,50,31,whole,0.00029827805674723687
42,50,42,whole,0.00024490715903753427
43,50,43,whole,0.00024423497245517625
21,50,21,whole,0.0001489802227003169
19,50,19,whole,5.739880446984716e-05
63,50,63,whole,3.5018637474742985e-05
30,50,30,whole,4.116674906427115e-06
55,50,55,whole,4.0196359472569674e-06
11,50,11,whole,0.0
15,50,15,whole,0.0
26,50,26,whole,0.0
51,50,51,whole,0.0
48,50,48,whole,-0.00014177350154600532
7,50,7,whole,-0.00041509975447373006
35,50,35,whole,-0.0004456020723813634
45,50,45,whole,-0.0011546879661568543
27,50,27,whole,-0.0011644693770056283
16,50,16,whole,-0.00123956007623799
24,50,24,whole,-0.0012548824502480998
41,50,41,whole,-0.0013344349179691272
62,50,62,whole,-0.00207899056698295
38,50,38,whole,-0.0022297789626261172
8,50,8,whole,-0.003250627861662303
6,50,6,whole,-0.004239743323931651
56,50,56,whole,-0.005189065485409268
13,50,13,whole,-0.005550035957044362
10,50,10,whole,-0.006581973071053548
57,50,57,whole,-0.011419044306996615
25,50,25,whole,-0.014166666362584962
