feature,class_0,class_1,class_2,class_3
0,0.031100012746205476,1.4084506943066854e-08,1.0272213609284984e-08,1.5600623903271267e-08
1,0.021710116910452864,1.7361110960407025e-08,1.1911852222085456e-08,1.9723865683196594e-08
2,0.03481631426700231,0.31014404440654597,0.48126649477238387,0.18432000581017596
3,0.0018993355906933764,0.002610992133015769,0.20572313839347922,0.11783442487524802
4,0.040493319965657186,0.29307761973905416,0.46325052157543856,0.14316974634832838
5,0.0704291290731809,0.0007598860153499771,0.03418804041092738,0.00320770648272772
6,0.019948348380096473,1.8148820161988928e-08,1.2277470765638609e-08,2.0746887751588303e-08
7,0.04229468973758721,1.1435105709347596e-08,0.005272416497045621,1.241464920909591e-08
8,0.016733864128031208,1.978239347396248e-08,1.3003901085800384e-08,2.290950718316716e-08
9,0.12234706648406603,0.0004727062149073359,0.024800340427069485,0.0014659223027952057
10,0.0031613173345856485,3.174603124212649e-08,1.728608455241068e-08,4.0650405677837286e-08
11,0.01777493414071083,0.21710527781985792,0.0034423522464581053,0.07235623309502567
12,0.027952769797935765,0.32078560287795216,0.5103294290610568,0.20363387657307547
13,0.10230326980874642,0.002671659089843283,0.06791569539129814,0.024410546395532466
14,0.00575637348390068,0.002234659192908836,0.18846696069995106,0.15059447621407562
15,0.042034526247229774,0.2808510690551639,0.4553314161505595,0.12119289936169765
16,0.05210961626504947,9.857072400901566e-09,7.82472610397212e-09,1.057641453952187e-08
17,0.008526951613398248,2.5641025312294552e-08,1.5302218704650203e-08,3.1152647489834155e-08
18,0.014360476893857416,2.118644045353347e-08,1.3596192973513305e-08,2.4813895473773012e-08
19,0.012801365832301868,0.18151541897156187,0.18634260308829512,0.05456257709724763
20,0.015175861807681509,2.0682523053955295e-08,1.3386880767156087e-08,2.4125452061212885e-08
21,0.18966274615815595,3.1133250262868545e-09,0.015249607228816565,3.1816735552311912e-09
22,0.042742927763642385,0.2857142906220604,0.4512437849471547,0.1752608102078664
23,0.14437565735905755,4.095004086619566e-09,0.005913882820340265,4.214075001655974e-09
24,0.01892508410811086,1.863932881044428e-08,1.2499999921875002e-08,2.139037410277675e-08
25,0.04874574420666636,0.12376041997715025,0.18832021591758458,0.11162401128147707
26,0.034223463449714206,0.31396046041353964,0.4739974166261386,0.22312500555273432
27,0.03822354809855444,0.2977562210498598,0.46535948113631503,0.16455696783368046
28,0.015494743209358477,2.0491803068731528e-08,1.3306719805011846e-08,2.3866348163886064e-08
29,0.033469360098510106,0.3061909170289999,0.49132948373271285,0.20630373063895657
30,3.5448422538913787e-10,0.5490196183803949,0.38655463032271725,0.14366426034169283
31,0.008562625750830713,2.560819429438932e-08,1.5290519760775843e-08,3.110419858313844e-08
32,0.03546930508505923,0.30681437292106617,0.4101540262117683,0.16332278013613946
33,0.03975864519088616,0.2965317968308329,0.46501129053169976,0.18964479774339313
34,0.04113988962599263,0.29234738236644486,0.4581673345165156,0.18680991290119392
35,0.024938276341509035,1.5923566752200903e-08,0.013460471040603078,1.7889087496519792e-08
36,0.18199947721622867,3.2610467907043104e-09,0.007207210199388574,3.336113422291721e-09
37,0.015329923174311985,0.36613272934350594,0.5506510049201301,0.23429952401650753
38,0.18642244920861348,3.1630555066217692e-09,0.017810221871809896,3.2336297441655143e-09
39,0.006991753673898932,2.7137041694205678e-08,1.5822784684946327e-08,3.338898107864807e-08
40,0.05813557043471502,0.23636867357772298,0.36280193632173446,0.10820144429294548
41,0.007516778880086482,2.4038461249537727e-08,0.11773364151778042,2.881844338878324e-08
42,0.12786879756724834,4.6019328011920555e-09,0.0028729776259532576,4.752851699731817e-09
43,0.013473428752819157,2.1762785399752066e-08,1.3831258548884797e-08,2.560819429438932e-08
44,0.003125449417458426,3.179650187922891e-08,1.7301037912620782e-08,4.073319672641148e-08
45,0.06429967347520887,0.07841727309921843,0.12700333194132649,0.04542014365851573
46,0.16811260216180546,3.5075412074578377e-09,0.017338259724934565,3.5945362983563333e-09
47,0.02818258494723377,0.3320337935931325,0.4970873828097437,0.2108843598269239
48,0.012478993454342797,2.244668886142886e-08,1.4104372255963526e-08,2.656042461407139e-08
49,0.16604283836528716,3.568879365508781e-09,0.008807701828726632,3.6589827960867497e-09
50,0.013364541440196439,2.1598271904986266e-08,0.013764638583863464,2.5380710337808248e-08
51,0.04087840758081203,0.2926267330281488,0.4611152826678787,0.1823635327463601
52,0.1852419462982193,3.1781344300363353e-09,0.020527862139988473,3.2493907339571235e-09
53,0.17673092083386915,3.3528918636162756e-09,0.009858290188141883,3.432297917569422e-09
54,3.598093010057013e-10,3.690036832287144e-08,1.870907372582719e-08,4.950494926967948e-08
55,0.016840002494453856,1.9723865683196594e-08,1.2978585249976736e-08,2.283104996768208e-08
56,0.010380313555189204,2.4038461249537727e-08,1.4716703350134634e-08,2.881844338878324e-08
57,0.009739155699421888,2.4570024268181522e-08,1.4914242990945243e-08,2.958579837890831e-08
58,0.03336145047712013,0.2933070922135594,0.45426573858946645,0.19106529831249036
59,0.011625827577959965,2.306805048364417e-08,1.4347202192631263e-08,2.743484187332179e-08
60,0.005955050491299698,2.8248587171630128e-08,1.6194331852677478e-08,3.508771868267161e-08
61,0.014111931188418938,2.1321961393156065e-08,0.0013652013558689328,2.4999999687500008e-08
62,0.005311036907162536,2.8985506826297005e-08,1.6433853603665955e-08,3.623188340159632e-08
63,0.007186656773300918,0.0022371588116648906,0.12385645233035572,0.16402118830659806
