,layer,filter,class_list,value
13,2,13,whole,0.011434084828205533
56,2,56,whole,0.008790651261643405
62,2,62,whole,0.007200104381540481
2,2,2,whole,0.006777258696843219
49,2,49,whole,0.006518458187204706
59,2,59,whole,0.004744794367509582
3,2,3,whole,0.0041415273640687976
11,2,11,whole,0.004128680595300598
1,2,1,whole,0.00393737218290984
57,2,57,whole,0.0037619064771516816
39,2,39,whole,0.003643627650198807
29,2,29,whole,0.0034548948836790492
6,2,6,whole,0.0033827501247420005
53,2,53,whole,0.0030551182527120643
27,2,27,whole,0.0027789514952361407
20,2,20,whole,0.001161545513525436
7,2,7,whole,0.0007902616086119342
19,2,19,whole,0.0004801196954599699
0,2,0,whole,1.954663278835546e-05
63,2,63,whole,4.116674906427115e-06
16,2,16,whole,1.0401692985365429e-10
5,2,5,whole,0.0
8,2,8,whole,0.0
9,2,9,whole,0.0
12,2,12,whole,0.0
14,2,14,whole,0.0
15,2,15,whole,0.0
17,2,17,whole,0.0
18,2,18,whole,0.0
21,2,21,whole,0.0
22,2,22,whole,0.0
23,2,23,whole,0.0
24,2,24,whole,0.0
26,2,26,whole,0.0
28,2,28,whole,0.0
30,2,30,whole,0.0
31,2,31,whole,0.0
32,2,32,whole,0.0
34,2,34,whole,0.0
35,2,35,whole,0.0
36,2,36,whole,0.0
37,2,37,whole,0.0
40,2,40,whole,0.0
41,2,41,whole,0.0
42,2,42,whole,0.0
44,2,44,whole,0.0
45,2,45,whole,0.0
46,2,46,whole,0.0
47,2,47,whole,0.0
48,2,48,whole,0.0
54,2,54,whole,0.0
58,2,58,whole,0.0
60,2,60,whole,0.0
61,2,61,whole,0.0
10,2,10,whole,-2.3269113906943795e-06
25,2,25,whole,-4.122907566215389e-06
33,2,33,whole,-4.122907566215389e-06
38,2,38,whole,-4.122907566215389e-06
50,2,50,whole,-4.122907566215389e-06
51,2,51,whole,-4.122907566215389e-06
55,2,55,whole,-3.2241741845797443e-05
4,2,4,whole,-3.6371000253856284e-05
43,2,43,whole,-0.00010517762062890387
52,2,52,whole,-0.0002889197097886911
