,layer,filter,class_list,value
43,2,43,0,0.00023680971623969428
10,2,10,0,4.42504404901678e-06
21,2,21,0,1.7792381336922957e-06
0,2,0,0,1.7688181132569092e-06
17,2,17,0,8.89628238864848e-07
5,2,5,0,0.0
8,2,8,0,0.0
9,2,9,0,0.0
12,2,12,0,0.0
14,2,14,0,0.0
15,2,15,0,0.0
16,2,16,0,0.0
18,2,18,0,0.0
22,2,22,0,0.0
23,2,23,0,0.0
24,2,24,0,0.0
25,2,25,0,0.0
26,2,26,0,0.0
28,2,28,0,0.0
30,2,30,0,0.0
31,2,31,0,0.0
32,2,32,0,0.0
33,2,33,0,0.0
34,2,34,0,0.0
35,2,35,0,0.0
36,2,36,0,0.0
37,2,37,0,0.0
38,2,38,0,0.0
40,2,40,0,0.0
41,2,41,0,0.0
42,2,42,0,0.0
44,2,44,0,0.0
45,2,45,0,0.0
46,2,46,0,0.0
47,2,47,0,0.0
48,2,48,0,0.0
50,2,50,0,0.0
51,2,51,0,0.0
54,2,54,0,0.0
58,2,58,0,0.0
60,2,60,0,0.0
61,2,61,0,0.0
63,2,63,0,0.0
55,2,55,0,-1.757991506401435e-06
4,2,4,0,-2.6361569997357394e-06
20,2,20,0,-2.8090499143540447e-06
52,2,52,0,-8.575385543612146e-05
19,2,19,0,-0.00010527391831930411
53,2,53,0,-0.0001529987431873714
39,2,39,0,-0.00016181306414204678
6,2,6,0,-0.00016473967939369948
27,2,27,0,-0.0001684108919850935
7,2,7,0,-0.00017188627638622389
59,2,59,0,-0.00021954735626567023
57,2,57,0,-0.00023399708100155792
3,2,3,0,-0.00027471559787228816
1,2,1,0,-0.0002853702265982472
11,2,11,0,-0.00029224041141761025
29,2,29,0,-0.00029560363058729334
2,2,2,0,-0.00035891109087755614
49,2,49,0,-0.0003646316798123772
62,2,62,0,-0.00039609772207162
56,2,56,0,-0.0004349356252468017
13,2,13,0,-0.0005454483330052495
