,layer,filter,class_list,value
197,37,197,whole,0.00903596003125288
200,37,200,whole,0.006625299940193739
208,37,208,whole,0.0054101954996074834
79,37,79,whole,0.005392259761062334
38,37,38,whole,0.004942803938678433
143,37,143,whole,0.004869228267776591
72,37,72,whole,0.004823441209742767
237,37,237,whole,0.004460149141163715
198,37,198,whole,0.004234509730126605
246,37,246,whole,0.00392612766913054
247,37,247,whole,0.003893749802827707
74,37,74,whole,0.0037747073447120137
220,37,220,whole,0.003562416658108586
210,37,210,whole,0.0034825537646587025
214,37,214,whole,0.0034711440456740737
249,37,249,whole,0.003430002496839099
39,37,39,whole,0.0032613829987328214
16,37,16,whole,0.0027242963508650477
55,37,55,whole,0.002627555779288258
139,37,139,whole,0.0025450601398326186
136,37,136,whole,0.0025291995492913184
114,37,114,whole,0.0024740496958256123
47,37,47,whole,0.002469919821466094
234,37,234,whole,0.0024209384531339202
6,37,6,whole,0.002346823473037127
206,37,206,whole,0.002331586240356095
125,37,125,whole,0.0022686372473771704
15,37,15,whole,0.0021935626592383154
155,37,155,whole,0.002135824864883242
95,37,95,whole,0.002113896892969847
224,37,224,whole,0.0021053848370843967
130,37,130,whole,0.001989148108046517
117,37,117,whole,0.0019725497293752066
240,37,240,whole,0.0019654829858916584
235,37,235,whole,0.0019434386644895986
170,37,170,whole,0.001900764739009088
251,37,251,whole,0.0018366995189673726
107,37,107,whole,0.0018029124261076453
241,37,241,whole,0.001789619267515772
248,37,248,whole,0.0017830541223107696
78,37,78,whole,0.001773395391663022
100,37,100,whole,0.0017388707707051173
227,37,227,whole,0.0016252334913195742
110,37,110,whole,0.0016215692484768261
67,37,67,whole,0.0016119450594274433
154,37,154,whole,0.0016037949309794918
238,37,238,whole,0.0015884169846084053
223,37,223,whole,0.001540428623491805
52,37,52,whole,0.0014986114987795365
22,37,22,whole,0.001496049240406917
252,37,252,whole,0.0014735725530007685
85,37,85,whole,0.001424902537039855
173,37,173,whole,0.001392670999855621
169,37,169,whole,0.0013618065713150752
185,37,185,whole,0.001355433543842374
150,37,150,whole,0.0013345451246275512
44,37,44,whole,0.0013331513648062808
82,37,82,whole,0.0013209068782911097
68,37,68,whole,0.0013066646145036627
33,37,33,whole,0.0012617968167017654
120,37,120,whole,0.001240778786455279
12,37,12,whole,0.0012026492950711638
109,37,109,whole,0.001196731233986783
53,37,53,whole,0.0011955149813837815
71,37,71,whole,0.0011883569319793932
193,37,193,whole,0.001158199598666807
102,37,102,whole,0.001151945171595158
45,37,45,whole,0.0011021143344276296
13,37,13,whole,0.00108959721777439
134,37,134,whole,0.0010466030675466277
149,37,149,whole,0.0010133545632300014
90,37,90,whole,0.001012745041785134
232,37,232,whole,0.0009914979071222903
124,37,124,whole,0.000981660065302661
191,37,191,whole,0.000934580191394906
166,37,166,whole,0.0009208982601517452
219,37,219,whole,0.0009200989208067544
254,37,254,whole,0.0008918184311456575
205,37,205,whole,0.0008727720939285761
37,37,37,whole,0.0008659186065265459
111,37,111,whole,0.0008608519631870867
204,37,204,whole,0.0008426058900194124
56,37,56,whole,0.0008392225212098127
