,layer,filter,class_list,value
208,37,208,0,0.0005123551589805153
237,37,237,0,0.00036048947706575075
214,37,214,0,0.00033222478750355444
198,37,198,0,0.0002788012011281871
197,37,197,0,0.00026614788101212425
107,37,107,0,0.0002539265197718299
16,37,16,0,0.0002516801159911375
210,37,210,0,0.0002387244173919667
136,37,136,0,0.0001935656678183295
79,37,79,0,0.00017278754099312455
39,37,39,0,0.00013929010413205045
77,37,77,0,0.00013925157800080966
6,37,6,0,0.00013375943903771726
247,37,247,0,0.00012149001183383578
130,37,130,0,0.00011933351619389799
155,37,155,0,0.00011480667227433682
100,37,100,0,0.00011336021777185179
143,37,143,0,0.00011333690018795472
56,37,56,0,0.00010664747946674824
223,37,223,0,9.792031380788657e-05
133,37,133,0,9.150500043485499e-05
78,37,78,0,9.110228821690436e-05
170,37,170,0,9.05040858866224e-05
102,37,102,0,7.614921079411863e-05
191,37,191,0,7.410090519370805e-05
224,37,224,0,7.331997120169076e-05
252,37,252,0,7.167467631813418e-05
17,37,17,0,6.838130670495657e-05
181,37,181,0,6.68288016778873e-05
109,37,109,0,6.378071844396205e-05
128,37,128,0,6.353016215785435e-05
2,37,2,0,5.8356112198687524e-05
83,37,83,0,5.828976143094078e-05
149,37,149,0,5.647546582810969e-05
232,37,232,0,5.469315618553683e-05
90,37,90,0,5.399241884407324e-05
253,37,253,0,5.313295221923697e-05
244,37,244,0,4.786976697704892e-05
13,37,13,0,4.4343811943448055e-05
87,37,87,0,4.41370984497369e-05
38,37,38,0,4.3882084539481614e-05
82,37,82,0,4.257163058114521e-05
33,37,33,0,4.2257182503091516e-05
75,37,75,0,4.156500269063557e-05
53,37,53,0,4.145278884776227e-05
204,37,204,0,4.027348080294368e-05
95,37,95,0,3.8445725779057136e-05
166,37,166,0,3.8088755616583204e-05
15,37,15,0,3.5851685581800294e-05
153,37,153,0,3.4573983122243576e-05
123,37,123,0,3.21338793466186e-05
212,37,212,0,2.8894509724841645e-05
162,37,162,0,2.6187541694300264e-05
85,37,85,0,2.5271643189350713e-05
227,37,227,0,2.5043738190144717e-05
12,37,12,0,2.3945822317916755e-05
99,37,99,0,2.3315077227181735e-05
21,37,21,0,2.0449107631137496e-05
240,37,240,0,1.8796389447439664e-05
96,37,96,0,1.58824105958022e-05
190,37,190,0,1.299067505341478e-05
160,37,160,0,1.0060577298498519e-05
64,37,64,0,9.639276488837556e-06
248,37,248,0,9.358650502311328e-06
235,37,235,0,9.029596328569145e-06
183,37,183,0,7.503415277199111e-06
68,37,68,0,6.946789261574881e-06
61,37,61,0,5.790007939432407e-06
70,37,70,0,5.344210227797852e-06
226,37,226,0,4.371574693973201e-06
69,37,69,0,3.518427795801138e-06
161,37,161,0,2.965454285275282e-06
201,37,201,0,2.940002519735696e-06
37,37,37,0,2.2767930766498524e-06
236,37,236,0,1.9962380937488255e-06
42,37,42,0,-2.586852800412487e-07
173,37,173,0,-6.699668216092469e-07
105,37,105,0,-9.335010971112112e-07
126,37,126,0,-1.610912881377935e-06
116,37,116,0,-1.8658051154751832e-06
