,layer,filter,class_list,value
33,22,33,0,0.00030823593740768595
42,22,42,0,0.00023788218520297554
217,22,217,0,0.00023476932208728042
189,22,189,0,0.00023115247237183169
37,22,37,0,0.00018344583337492892
221,22,221,0,0.00015416195702263601
191,22,191,0,0.00014306705745492643
225,22,225,0,0.00013370973279670518
94,22,94,0,0.00013082539064920295
46,22,46,0,0.00012332995472469355
204,22,204,0,0.0001028686274834989
135,22,135,0,9.908439314678663e-05
219,22,219,0,9.606742429105753e-05
71,22,71,0,9.449546109313589e-05
108,22,108,0,9.284439770808061e-05
107,22,107,0,8.7186430478714e-05
239,22,239,0,8.36317259940711e-05
103,22,103,0,8.327057231738433e-05
52,22,52,0,8.138147880154545e-05
234,22,234,0,7.69612957321697e-05
156,22,156,0,7.67112968574013e-05
128,22,128,0,6.789130568392032e-05
28,22,28,0,6.64657053252804e-05
40,22,40,0,6.554862623364688e-05
47,22,47,0,6.306627660153108e-05
2,22,2,0,5.897068564095775e-05
252,22,252,0,5.814195171746084e-05
200,22,200,0,5.66864123525912e-05
136,22,136,0,5.612840269030306e-05
179,22,179,0,5.490450008724945e-05
63,22,63,0,5.276415072635876e-05
238,22,238,0,5.126604713175942e-05
228,22,228,0,4.975704648754187e-05
170,22,170,0,4.792722522659609e-05
180,22,180,0,4.77898831083956e-05
129,22,129,0,4.7096283813419236e-05
211,22,211,0,4.5946846348965395e-05
83,22,83,0,4.568223173508912e-05
148,22,148,0,4.478454613054961e-05
106,22,106,0,4.3475068213483235e-05
130,22,130,0,4.1829880251242904e-05
227,22,227,0,4.134758679390505e-05
223,22,223,0,3.964638416594779e-05
150,22,150,0,3.802292420350684e-05
141,22,141,0,3.7548795623587596e-05
29,22,29,0,3.55934269250735e-05
168,22,168,0,3.3049405573148946e-05
21,22,21,0,3.2185029907416676e-05
101,22,101,0,3.200264508208539e-05
30,22,30,0,2.935454694289463e-05
66,22,66,0,2.8867607297389243e-05
237,22,237,0,2.77264677774669e-05
118,22,118,0,2.7398867146422035e-05
153,22,153,0,2.620525895783432e-05
251,22,251,0,2.5741116454025547e-05
229,22,229,0,2.46482709939988e-05
178,22,178,0,2.4459117740061042e-05
134,22,134,0,2.401827230193998e-05
98,22,98,0,2.1368757868944765e-05
230,22,230,0,1.9053657112722e-05
182,22,182,0,1.855294108771277e-05
6,22,6,0,1.6024241818490824e-05
36,22,36,0,1.5445965054838863e-05
140,22,140,0,1.5249907321945867e-05
32,22,32,0,1.4481225437434908e-05
114,22,114,0,1.4363197836853026e-05
122,22,122,0,1.19150904414278e-05
58,22,58,0,1.1459062460261738e-05
201,22,201,0,1.1195944782649291e-05
51,22,51,0,1.065199157606056e-05
173,22,173,0,9.908627477672737e-06
16,22,16,0,8.967310322050004e-06
255,22,255,0,8.036607261385775e-06
23,22,23,0,7.040067135921646e-06
70,22,70,0,5.107407431725885e-06
57,22,57,0,4.859748241370365e-06
202,22,202,0,4.857402119851084e-06
198,22,198,0,4.138211756776755e-06
152,22,152,0,4.036103551130488e-06
119,22,119,0,3.5500994555293096e-06
73,22,73,0,3.1900224444658677e-06
1,22,1,0,2.7576475271740007e-06
113,22,113,0,1.9047816419925923e-06
82,22,82,0,1.7300225513716682e-06
93,22,93,0,-9.287845918359849e-07
176,22,176,0,-1.345851417777766e-06
56,22,56,0,-2.639239776491831e-06
151,22,151,0,-3.6186875466248656e-06
220,22,220,0,-4.525449866887854e-06
65,22,65,0,-6.334951474118444e-06
