,layer,filter,class_list,value
221,22,221,whole,0.004842389381102807
33,22,33,whole,0.004738254615921643
42,22,42,whole,0.0044394526058513396
217,22,217,whole,0.0039220707086106785
103,22,103,whole,0.003828547589907037
191,22,191,whole,0.0036976016824797923
47,22,47,whole,0.003147059761669772
53,22,53,whole,0.0030954945356635464
36,22,36,whole,0.0029564528094292186
46,22,46,whole,0.0028995561539303417
234,22,234,whole,0.002850605173404032
179,22,179,whole,0.0028262194561379642
243,22,243,whole,0.002816525760030603
135,22,135,whole,0.002771679555678142
107,22,107,whole,0.0026606080953455297
37,22,37,whole,0.0025770539182761606
2,22,2,whole,0.00257334231477442
200,22,200,whole,0.002435930285687099
229,22,229,whole,0.002250383654445111
29,22,29,whole,0.0022053625815456066
202,22,202,whole,0.0021755180816332887
27,22,27,whole,0.00214661381311947
152,22,152,whole,0.0020859957065104484
148,22,148,whole,0.001974088570790751
88,22,88,whole,0.0019652484477326185
239,22,239,whole,0.0019342361407311145
13,22,13,whole,0.001921361989537649
129,22,129,whole,0.0018765350562277028
219,22,219,whole,0.0018584437800234852
94,22,94,whole,0.0018570437615572724
225,22,225,whole,0.0018553979665597337
210,22,210,whole,0.0018174386906070726
196,22,196,whole,0.0017850060352285902
204,22,204,whole,0.0017617244030622933
227,22,227,whole,0.0017302871595926855
101,22,101,whole,0.0016948346174057434
44,22,44,whole,0.001687288380025127
62,22,62,whole,0.0016256622837496227
32,22,32,whole,0.0016201232954290573
252,22,252,whole,0.0015731631400131528
24,22,24,whole,0.0015049544207139682
244,22,244,whole,0.0014838248391560772
235,22,235,whole,0.0014743585785172903
48,22,48,whole,0.001359870035370936
58,22,58,whole,0.0012842540493993055
1,22,1,whole,0.00127522025082964
98,22,98,whole,0.0012622916650830173
206,22,206,whole,0.0012531700566022254
108,22,108,whole,0.0012531109412970813
153,22,153,whole,0.0012457859153250064
146,22,146,whole,0.0011965364507608236
136,22,136,whole,0.0011593435720237892
231,22,231,whole,0.0011593100072758529
230,22,230,whole,0.001158997654241272
89,22,89,whole,0.0011331892502913572
150,22,150,whole,0.0011257130642487055
254,22,254,whole,0.0011072939681345023
65,22,65,whole,0.001094145018810592
77,22,77,whole,0.0010882450368006735
201,22,201,whole,0.0010813042740942982
110,22,110,whole,0.0010708480501048945
128,22,128,whole,0.001053187216409022
43,22,43,whole,0.0010486340076202008
118,22,118,whole,0.001002418942317652
120,22,120,whole,0.0009886296122690393
189,22,189,whole,0.000982532997848843
130,22,130,whole,0.0009535445191241745
35,22,35,whole,0.0009440420329065374
159,22,159,whole,0.0009163976722615326
142,22,142,whole,0.0008924073751356259
63,22,63,whole,0.0008838808945784056
73,22,73,whole,0.0008837862093546854
149,22,149,whole,0.0008687831869731218
72,22,72,whole,0.0008523172409108795
30,22,30,whole,0.000840318847329591
199,22,199,whole,0.0008276626055891828
104,22,104,whole,0.000809721870371746
40,22,40,whole,0.0007962034110818502
117,22,117,whole,0.0007843110704635351
21,22,21,whole,0.000783685165380105
170,22,170,whole,0.0007568462265199784
5,22,5,whole,0.0007327243515652486
23,22,23,whole,0.0007072728339618614
212,22,212,whole,0.0006868772395679596
228,22,228,whole,0.0006295534975376325
188,22,188,whole,0.0006098930500692139
193,22,193,whole,0.0005968515763004193
119,22,119,whole,0.0005850557552613366
61,22,61,whole,0.0005753475966965161
178,22,178,whole,0.0005182165256768789
71,22,71,whole,0.0005043686332971302
192,22,192,whole,0.0005024934901482873
79,22,79,whole,0.0004855084188239901
218,22,218,whole,0.0004758372914332893
160,22,160,whole,0.00043631868788773125
14,22,14,whole,0.00039235584960808543
177,22,177,whole,0.0003557846681141675
87,22,87,whole,0.00034752346442004384
75,22,75,whole,0.00032939429806736473
95,22,95,whole,0.00032092802872329864
100,22,100,whole,0.0003058646741982015
156,22,156,whole,0.0002911000763579378
255,22,255,whole,0.0002453292212685622
175,22,175,whole,0.0002414161644945026
0,22,0,whole,0.0002098302655189131
20,22,20,whole,0.00016659994725717816
38,22,38,whole,0.00016335119639063474
220,22,220,whole,0.00014018360213856467
91,22,91,whole,0.00012714354461835676
224,22,224,whole,0.00011712376460235533
106,22,106,whole,0.00011364985817706626
238,22,238,whole,0.00011356065659166113
15,22,15,whole,0.00010234467415971638
253,22,253,whole,0.00010118760495728223
105,22,105,whole,9.67039748865365e-05
11,22,11,whole,9.020347873892774e-05
134,22,134,whole,3.755263528591492e-05
10,22,10,whole,2.521395136904801e-05
