,layer,filter,class_list,value
73,34,73,0,0.001039014285228268
32,34,32,0,0.0005906245304989621
14,34,14,0,0.00043864973493614736
228,34,228,0,0.0004276469803031535
93,34,93,0,0.00034550592486227717
131,34,131,0,0.0003240143320996203
5,34,5,0,0.00032377618444646706
76,34,76,0,0.0002636510332128639
20,34,20,0,0.000261612152216173
210,34,210,0,0.0002510249872112125
122,34,122,0,0.0002329718978784534
6,34,6,0,0.00022483007138160982
227,34,227,0,0.0002188649154654665
12,34,12,0,0.0001955835769103742
101,34,101,0,0.00019399946575432425
25,34,25,0,0.00019166315031344806
49,34,49,0,0.00018884343419893755
42,34,42,0,0.0001880827806413743
133,34,133,0,0.0001777893206006409
38,34,38,0,0.00016698921700464275
126,34,126,0,0.00016086205635339467
120,34,120,0,0.00015650734179813996
92,34,92,0,0.00015389005138292112
43,34,43,0,0.00015248521030905015
169,34,169,0,0.00014673155211542
132,34,132,0,0.00013198479318157207
127,34,127,0,0.00012712125903883154
199,34,199,0,0.00012383290435565852
63,34,63,0,0.00011620715332759657
96,34,96,0,0.00011558714699112515
221,34,221,0,0.00011273777583351575
89,34,89,0,0.00011132975040978321
62,34,62,0,0.00010669885905137955
231,34,231,0,0.00010406762674717296
168,34,168,0,0.00010403889245211851
3,34,3,0,0.0001034458842651187
197,34,197,0,8.967323176167774e-05
102,34,102,0,8.936510724106838e-05
138,34,138,0,8.926077351323336e-05
155,34,155,0,8.76480063627283e-05
223,34,223,0,8.445480349814627e-05
174,34,174,0,8.271204479044502e-05
17,34,17,0,7.85490500235797e-05
2,34,2,0,7.293543159260229e-05
253,34,253,0,7.032199141899786e-05
95,34,95,0,6.86444092263927e-05
189,34,189,0,6.228722975434308e-05
51,34,51,0,5.858837439619569e-05
198,34,198,0,5.853755989647658e-05
98,34,98,0,5.825524853518838e-05
242,34,242,0,5.816984638328249e-05
87,34,87,0,5.6487507357594335e-05
173,34,173,0,4.6195361708301075e-05
103,34,103,0,4.5841549155822836e-05
4,34,4,0,4.283093935056881e-05
83,34,83,0,3.9910648347563085e-05
215,34,215,0,3.820758530771462e-05
1,34,1,0,3.52411450972534e-05
202,34,202,0,2.9308318369103414e-05
141,34,141,0,2.36854821702992e-05
15,34,15,0,2.3078365786644018e-05
137,34,137,0,1.953444511750835e-05
68,34,68,0,1.8585981708885146e-05
65,34,65,0,1.8310031987134322e-05
158,34,158,0,1.766773685818457e-05
203,34,203,0,1.729695269985232e-05
250,34,250,0,1.2904321028217592e-05
218,34,218,0,1.274347182805835e-05
23,34,23,0,1.0104062116367273e-05
143,34,143,0,9.923230703134944e-06
134,34,134,0,8.097522528871526e-06
204,34,204,0,4.998719145266062e-06
100,34,100,0,4.646747128045358e-06
119,34,119,0,4.410250581066144e-06
212,34,212,0,2.8591914474906943e-07
193,34,193,0,9.419738851157433e-08
7,34,7,0,-1.2159577665871169e-06
154,34,154,0,-1.7396663862578875e-06
105,34,105,0,-1.815328755339074e-06
110,34,110,0,-1.8371957957619145e-06
18,34,18,0,-1.9564943128935752e-06
171,34,171,0,-2.0290082999085967e-06
107,34,107,0,-2.3413242006387057e-06
78,34,78,0,-2.727971548255326e-06
41,34,41,0,-4.482596180532816e-06
46,34,46,0,-5.615626212351899e-06
180,34,180,0,-6.159734071131684e-06
61,34,61,0,-6.94832443181026e-06
129,34,129,0,-7.1288330566687815e-06
118,34,118,0,-7.208413862158647e-06
230,34,230,0,-9.757771371154966e-06
147,34,147,0,-1.1566624261172277e-05
211,34,211,0,-1.3486920050620465e-05
27,34,27,0,-1.3624189747007964e-05
237,34,237,0,-1.439263985298922e-05
151,34,151,0,-1.6513238180926316e-05
161,34,161,0,-1.6662903692121755e-05
21,34,21,0,-1.7871438651917428e-05
157,34,157,0,-2.009740598198917e-05
176,34,176,0,-2.1142652322414525e-05
16,34,16,0,-2.1306256090447563e-05
112,34,112,0,-2.2007472659424378e-05
28,34,28,0,-2.5099009267581797e-05
90,34,90,0,-2.5373807628759072e-05
40,34,40,0,-2.554878713442177e-05
8,34,8,0,-2.6082078850109268e-05
156,34,156,0,-2.6976333598549562e-05
115,34,115,0,-2.6977659078786243e-05
99,34,99,0,-2.729166681916251e-05
136,34,136,0,-2.824149429048184e-05
239,34,239,0,-2.9197945208792043e-05
201,34,201,0,-2.9584571250507174e-05
84,34,84,0,-2.9673493057469356e-05
144,34,144,0,-3.0675834616789024e-05
224,34,224,0,-3.08040620402239e-05
